date,direction,regime,top5_n,top5_dir_acc,top5_ge1,top5_ge2,top5_ge3,top5_avg_ret,rem15_n,rem15_dir_acc,rem15_ge2,rem15_avg_ret,top5_better,c2_rank1_symbol,c2_rank1_ret
2026-05-14,UP,RANGE,5,0.4,0.2,0.0,0.0,-1.0278,15,0.2,0.1333,-1.3349,True,IDEAFORGE.NS,-3.478
2026-05-14,DOWN,RANGE,5,0.8,0.8,0.2,0.2,-1.3646,15,0.6,0.3333,-0.5433,True,CHOLAFIN.NS,-1.3273
2026-05-15,UP,RANGE,5,0.6,0.6,0.4,0.4,0.8996,15,0.2667,0.0,-0.9857,True,SOLARINDS.NS,4.0718
2026-05-15,DOWN,RANGE,5,1.0,0.8,0.4,0.2,-2.8667,15,0.7333,0.3333,-0.8827,True,RATNAMANI.NS,-8.428
2026-05-18,UP,RANGE,5,1.0,0.6,0.2,0.2,1.7548,15,0.6,0.4667,0.8227,True,GNFC.NS,5.1724
2026-05-18,DOWN,RANGE,5,0.2,0.0,0.0,0.0,1.2108,15,0.4,0.0,1.286,False,ENDURANCE.NS,0.7322
2026-05-19,UP,RANGE,5,0.4,0.2,0.0,0.0,-0.0886,15,0.5333,0.0,-0.3943,False,KPITTECH.NS,0.9547
2026-05-19,DOWN,RANGE,5,0.2,0.0,0.0,0.0,0.2144,15,0.4667,0.0667,0.3144,False,STLTECH.NS,0.9978
2026-05-20,UP,RANGE,5,0.4,0.4,0.2,0.2,-0.3518,15,0.6,0.1333,0.4916,False,JPPOWER.NS,1.3654
2026-05-20,DOWN,RANGE,5,0.8,0.4,0.0,0.0,-0.0126,15,0.2667,0.0,1.5975,True,RATNAMANI.NS,-0.4331
2026-05-21,UP,RANGE,5,1.0,0.8,0.4,0.2,3.101,15,0.6667,0.2667,0.6776,True,PAGEIND.NS,2.8009
2026-05-21,DOWN,RANGE,5,1.0,0.4,0.4,0.2,-1.523,15,0.4667,0.1333,0.5025,True,WELCORP.NS,-3.9618
2026-05-22,UP,RANGE,5,1.0,0.8,0.6,0.4,2.7556,15,0.5333,0.2,0.467,True,PRESTIGE.NS,0.9291
2026-05-22,DOWN,RANGE,5,0.6,0.2,0.2,0.2,-0.6483,15,0.0667,0.0,2.0834,True,OIL.NS,-3.4417
2026-05-25,UP,RANGE,5,0.6,0.4,0.4,0.4,1.412,15,0.4667,0.1333,0.0547,True,SUDARSCHEM.NS,-3.9082
2026-05-25,DOWN,RANGE,5,0.6,0.4,0.0,0.0,0.4206,15,0.5333,0.0667,-0.161,True,HINDZINC.NS,2.0331
