direction,c2_rank,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_t1_ret,avg_mfe,avg_mae
UP,1,53,0.6604,0.5094,0.4151,0.3774,2.0113,4.4927,0.1193
UP,2,53,0.6226,0.4528,0.3962,0.3208,1.6046,3.6507,0.8695
UP,3,53,0.6038,0.4151,0.2642,0.1887,0.5917,2.6589,0.9482
UP,4,53,0.566,0.3019,0.2264,0.1321,0.5528,2.5947,1.0804
UP,5,53,0.6226,0.434,0.1509,0.0377,0.4857,2.2287,1.0973
UP,6,53,0.5094,0.3396,0.1698,0.1698,0.3575,2.1867,1.0683
UP,7,53,0.4906,0.3019,0.2075,0.1132,0.4737,2.5561,1.5764
UP,8,53,0.5849,0.3585,0.2264,0.0755,0.4458,2.2021,1.2819
UP,9,53,0.5094,0.2075,0.1321,0.0566,0.1196,1.8575,1.3499
UP,10,53,0.4717,0.2453,0.2075,0.1509,0.4205,2.4676,1.4626
UP,11,53,0.434,0.2453,0.1321,0.0377,-0.1757,1.6078,1.6665
UP,12,53,0.4528,0.2075,0.0943,0.0377,-0.1961,1.6775,1.6529
UP,13,53,0.5094,0.1887,0.0566,0.0566,-0.1551,1.4452,1.5163
UP,14,53,0.5472,0.283,0.2075,0.1321,0.5475,1.8798,1.375
UP,15,53,0.3585,0.3019,0.1321,0.0755,-0.2429,1.6559,1.6798
UP,16,53,0.3585,0.1698,0.0943,0.0377,-0.8349,1.5092,2.2788
UP,17,53,0.3774,0.2264,0.1321,0.0755,-0.3349,1.5649,1.9437
UP,18,53,0.4151,0.2264,0.0943,0.0377,-0.4367,1.3587,1.9576
UP,19,53,0.3774,0.2453,0.0943,0.0566,-0.8039,1.1769,2.4503
UP,20,53,0.283,0.1509,0.1321,0.0566,-1.5481,0.4096,3.3288
DOWN,1,53,0.6226,0.5283,0.4151,0.3208,-1.626,3.8872,-0.0582
DOWN,2,53,0.6226,0.283,0.1887,0.0755,-0.4593,2.3119,0.9954
DOWN,3,53,0.6604,0.4717,0.2453,0.1321,-0.9644,2.1646,0.5777
DOWN,4,53,0.5849,0.3208,0.2075,0.1321,-0.5094,1.9152,1.0373
DOWN,5,53,0.5283,0.3208,0.1509,0.0943,-0.0923,1.4873,1.2836
DOWN,6,53,0.4906,0.283,0.0943,0.0189,0.1332,1.3427,1.3685
DOWN,7,53,0.5094,0.2264,0.1698,0.0189,-0.0201,1.3645,1.4581
DOWN,8,53,0.4528,0.2642,0.1321,0.0377,0.2413,1.2949,1.7172
DOWN,9,53,0.4528,0.283,0.1132,0.0755,0.1268,1.3146,1.4496
DOWN,10,53,0.4906,0.3208,0.1132,0.0189,0.3239,1.3527,1.9038
DOWN,11,53,0.4906,0.2642,0.0566,0.0,0.0478,1.1965,1.3329
DOWN,12,53,0.5472,0.2453,0.0943,0.0189,0.0014,1.0932,1.3798
DOWN,13,53,0.4528,0.1509,0.0377,0.0189,0.2841,0.9841,1.6945
DOWN,14,53,0.4717,0.2642,0.0755,0.0566,0.031,1.2506,1.542
DOWN,15,53,0.3962,0.2075,0.0755,0.0,0.3981,0.9782,1.8721
DOWN,16,53,0.4717,0.3019,0.1321,0.0377,0.3742,1.284,2.0214
DOWN,17,53,0.4906,0.1887,0.0755,0.0377,0.2969,1.2686,1.6844
DOWN,18,53,0.3396,0.1509,0.0189,0.0,0.958,0.4964,2.615
DOWN,19,53,0.3962,0.2642,0.1321,0.0566,0.9467,0.9005,2.7789
DOWN,20,53,0.283,0.1132,0.0377,0.0377,1.6978,0.1684,3.6779
