timestamp,order_id,symbol,direction,quantity,entry_price,stop_loss,target,strategy,confidence,rr,event,exit_price,pnl,reason
2026-06-18 09:10:16,SIM_DRREDDY_BUY_Q856_P1272.22_1781754016515,DRREDDY,BUY,856,1269.5,1228.64,1371.65,Momentum_Retest,10.0,2.5,OPEN,,,
2026-06-22 11:30:23,SIM_LUPIN_BUY_Q432_P2350.88_1782108023621,LUPIN,BUY,432,2346.7,2284.06,2503.3,EDG_MOMENT_95_EE0000,7.08,2.5,OPEN,,,
2026-06-22 11:30:24,SIM_GRASIM_BUY_Q367_P3162.36_1782108024231,GRASIM,BUY,367,3157.5,3084.6,3339.75,EDG_MOMENT_95_EE0000,6.9,2.5,OPEN,,,
2026-06-24 09:49:41,SIM_GRASIM_BUY_Q367_P3162.36_1782108024231,GRASIM,BUY,367,3157.5,3084.6,3339.75,EDG_MOMENT_95_EE0000,,,CLOSE,3103.8,-19707.9,EARLY_LOSS
2026-06-24 17:39:40,SIM_DRREDDY_BUY_Q856_P1272.22_1781754016515,DRREDDY,BUY,856,1269.5,1228.64,1371.65,Momentum_Retest,,,CLOSE,1327.3,49476.8,SESSION_EXPIRED
2026-06-25 11:30:05,SIM_DRREDDY_BUY_Q896_P1361.60_1782367205249,DRREDDY,BUY,896,1359.0,1319.94,1456.65,Momentum_Retest,10.0,2.5,OPEN,,,
2026-06-26 13:00:13,SIM_ITC         _BUY_Q2452_P428.85_1782459013151,ITC         ,BUY,2452,427.9,413.63,463.57,Momentum_Retest,10.0,2.5,OPEN,,,
2026-06-26 15:00:14,SIM_LUPIN_BUY_Q432_P2350.88_1782108023621,LUPIN,BUY,432,2346.7,2284.06,2503.3,EDG_MOMENT_95_EE0000,,,CLOSE,2292.7,-23328.0,EARLY_LOSS
2026-06-30 11:30:13,SIM_ASIANPAINT_BUY_Q483_P2665.30_1782799213798,ASIANPAINT,BUY,483,2661.5,2604.52,2832.45,EDG_MOMENT_95_EE0000,7.29,3.0,OPEN,,,
2026-06-30 13:00:13,SIM_LICHSGFIN_BUY_Q2045_P562.53_1782804613730,LICHSGFIN,BUY,2045,561.5,546.05,600.12,Momentum_Retest,10.0,2.5,OPEN,,,
2026-06-30 15:00:29,SIM_ITC         _BUY_Q2452_P428.85_1782459013151,ITC         ,BUY,2452,427.9,413.63,463.57,Momentum_Retest,,,CLOSE,415.87,-29497.56,EARLY_LOSS
2026-06-30 15:00:31,SIM_ASIANPAINT_BUY_Q483_P2665.30_1782799213798,ASIANPAINT,BUY,483,2661.5,2604.52,2832.45,EDG_MOMENT_95_EE0000,,,CLOSE,2618.47,-20783.49,EARLY_LOSS
2026-07-01 09:45:13,SIM_ASIANPAINT_BUY_Q473_P2639.52_1782879313725,ASIANPAINT,BUY,473,2635.7,2578.34,2807.78,EDG_MOMENT_95_EE0000,7.1,3.0,OPEN,,,
2026-07-01 12:01:26,SIM_DRREDDY_BUY_Q896_P1361.60_1782367205249,DRREDDY,BUY,896,1359.0,1319.94,1456.65,Momentum_Retest,,,CLOSE,1334.7,-21772.8,EARLY_LOSS
2026-07-02 10:30:20,SIM_DABUR_BUY_Q2333_P447.35_1782968420981,DABUR,BUY,2333,446.35,431.35,483.85,Momentum_Retest,10.0,2.5,OPEN,,,
2026-07-03 11:30:19,SIM_ALKEM_BUY_Q183_P5584.74_1783058419568,ALKEM,BUY,183,5572.0,5380.9,6049.75,Momentum_Retest,10.0,2.5,OPEN,,,
2026-07-03 15:01:38,SIM_LICHSGFIN_BUY_Q2045_P562.53_1782804613730,LICHSGFIN,BUY,2045,561.5,546.05,600.12,Momentum_Retest,,,CLOSE,551.42,-20613.6,EARLY_LOSS
2026-07-06 15:00:06,SIM_ASIANPAINT_BUY_Q473_P2639.52_1782879313725,ASIANPAINT,BUY,473,2635.7,2693.54,2807.78,EDG_MOMENT_95_EE0000,,,CLOSE,2690.55,25944.05,STOP_HIT
2026-07-07 13:00:14,SIM_ASIANPAINT_BUY_Q263_P2744.85_1783409414603,ASIANPAINT,BUY,263,2740.5,2675.22,2903.7,EDG_MOMENT_95_EE0000,6.83,2.5,OPEN,,,
2026-07-08 09:15:51,SIM_ASIANPAINT_BUY_Q263_P2744.85_1783409414603,ASIANPAINT,BUY,263,2740.5,2675.22,2903.7,EDG_MOMENT_95_EE0000,,,CLOSE,2688.5,-13676.0,EARLY_LOSS
2026-07-08 11:02:34,SIM_DABUR_BUY_Q2333_P447.35_1782968420981,DABUR,BUY,2333,446.35,431.35,483.85,Momentum_Retest,,,CLOSE,445.5,-1983.05,SESSION_EXPIRED
2026-07-09 11:52:49,SIM_ALKEM_BUY_Q183_P5584.74_1783058419568,ALKEM,BUY,183,5572.0,5380.9,6049.75,Momentum_Retest,,,CLOSE,5639.0,12261.0,SESSION_EXPIRED
2026-07-22 13:00:23,SIM_JSWSTEEL_BUY_Q418_P1270.81_1784705423944,JSWSTEEL,BUY,418,1268.9,1240.25,1340.53,Momentum_Retest,10.0,2.5,OPEN,,,
2026-07-22 13:00:23,SIM_JSWSTEEL_BUY_Q418_P1270.81_1784705423941,JSWSTEEL,BUY,418,1268.9,1240.25,1340.53,Momentum_Retest,10.0,2.5,OPEN,,,
2026-07-22 15:00:24,SIM_JSWSTEEL_BUY_Q418_P1270.81_1784705423944,JSWSTEEL,BUY,418,1268.9,1240.25,1340.53,Momentum_Retest,,,CLOSE,1233.41,-14834.82,STOP_HIT
2026-07-23 14:41:25,SIM_JSWSTEEL_BUY_Q418_P1270.81_1784705423941,JSWSTEEL,BUY,418,1268.9,1240.25,1340.53,Momentum_Retest,,,CLOSE,1240.2,-11996.62,STOP_HIT
2026-07-27 09:45:10,SIM_HAVELLS_BUY_Q282_P1229.66_1785125710081,HAVELLS,BUY,282,1226.9,1185.56,1330.25,Momentum_Retest,10.0,2.5,OPEN,,,
2026-07-28 09:45:13,SIM_HAVELLS_BUY_Q282_P1240.16_1785212113590,HAVELLS,BUY,282,1237.4,1196.06,1340.75,Momentum_Retest,10.0,2.5,OPEN,,,
2026-07-31 09:45:15,SIM_TATAPOWER_BUY_Q2314_P376.47_1785471315470,TATAPOWER,BUY,2314,375.95,368.18,399.26,EDG_MOMENT_95_EE0000,7.49,3.0,OPEN,,,
2026-07-31 10:30:18,SIM_ASIANPAINT_BUY_Q240_P2749.52_1785474018295,ASIANPAINT,BUY,240,2744.7,2672.4,2925.45,EDG_MOMENT_95_EE0000,7.01,2.5,OPEN,,,
2026-08-03 11:16:45,SIM_HAVELLS_BUY_Q282_P1240.16_1785212113590,HAVELLS,BUY,282,1237.4,1196.06,1340.75,Momentum_Retest,,,CLOSE,1237.4,0.0,SESSION_EXPIRED
2026-08-04 09:45:13,SIM_HAVELLS_BUY_Q471_P1287.76_1785816913671,HAVELLS,BUY,471,1285.0,1243.66,1388.35,Momentum_Retest,10.0,2.5,OPEN,,,
2026-08-04 11:30:06,SIM_HAVELLS_BUY_Q427_P1285.36_1785823206794,HAVELLS,BUY,427,1282.6,1241.26,1385.95,Momentum_Retest,10.0,2.5,OPEN,,,
2026-08-05 13:00:31,SIM_AUROPHARMA_BUY_Q435_P1610.19_1785915031649,AUROPHARMA,BUY,435,1607.5,1567.12,1708.45,Momentum_Retest,10.0,2.5,OPEN,,,
2026-08-06 10:33:54,SIM_TATAPOWER_BUY_Q2314_P376.47_1785471315470,TATAPOWER,BUY,2314,375.95,368.18,399.26,EDG_MOMENT_95_EE0000,,,CLOSE,375.95,0.0,SESSION_EXPIRED
2026-08-06 10:33:54,SIM_ASIANPAINT_BUY_Q240_P2749.52_1785474018295,ASIANPAINT,BUY,240,2744.7,2672.4,2925.45,EDG_MOMENT_95_EE0000,,,CLOSE,2744.7,0.0,SESSION_EXPIRED
2026-08-10 10:33:42,SIM_HAVELLS_BUY_Q471_P1287.76_1785816913671,HAVELLS,BUY,471,1285.0,1243.66,1388.35,Momentum_Retest,,,CLOSE,1275.1,-4662.9,SESSION_EXPIRED
