combo,direction,pool_size,mean_recall,mean_precision,mean_lift
score_A,UP,10,0.057,0.3357,1.1754
score_A,UP,20,0.1085,0.326,1.1191
score_A,UP,30,0.1584,0.3231,1.0892
score_A,UP,40,0.2076,0.3201,1.0703
score_B,UP,10,0.057,0.3402,1.1754
score_B,UP,20,0.1056,0.3266,1.0894
score_B,UP,30,0.1572,0.3233,1.0808
score_B,UP,40,0.2065,0.3201,1.0649
score_C,UP,10,0.0569,0.3393,1.173
score_C,UP,20,0.1069,0.33,1.1023
score_C,UP,30,0.1564,0.3262,1.0748
score_C,UP,40,0.2053,0.3238,1.0585
score_D,UP,10,0.057,0.3357,1.1754
score_D,UP,20,0.1085,0.326,1.1191
score_D,UP,30,0.1584,0.3231,1.0892
score_D,UP,40,0.2076,0.3201,1.0703
score_E,UP,10,0.0526,0.3183,1.0851
score_E,UP,20,0.1046,0.3195,1.0797
score_E,UP,30,0.1555,0.3195,1.0692
score_E,UP,40,0.2058,0.32,1.0612
score_F,UP,10,0.0537,0.3309,1.1084
score_F,UP,20,0.1042,0.3278,1.0747
score_F,UP,30,0.1539,0.3253,1.0583
score_F,UP,40,0.2023,0.3228,1.0432
score_G,UP,10,0.0546,0.3314,1.1255
score_G,UP,20,0.1048,0.3259,1.0801
score_G,UP,30,0.1568,0.3261,1.0781
score_G,UP,40,0.2076,0.3236,1.0704
score_H,UP,10,0.0567,0.3373,1.1701
score_H,UP,20,0.1091,0.3302,1.1254
score_H,UP,30,0.1592,0.3247,1.0946
score_H,UP,40,0.2095,0.322,1.0801
score_I,UP,10,0.0514,0.3288,1.0601
score_I,UP,20,0.1044,0.3262,1.0765
score_I,UP,30,0.1545,0.3261,1.0616
score_I,UP,40,0.205,0.325,1.057
score_J,UP,10,0.0561,0.3356,1.157
score_J,UP,20,0.1084,0.3274,1.1178
score_J,UP,30,0.1579,0.3233,1.0852
score_J,UP,40,0.2073,0.3206,1.0688
score_K,UP,10,0.0557,0.3376,1.1488
score_K,UP,20,0.1073,0.3277,1.1062
score_K,UP,30,0.1572,0.3246,1.0808
score_K,UP,40,0.2083,0.3227,1.074
score_L,UP,10,0.056,0.3326,1.1545
score_L,UP,20,0.1071,0.3232,1.1044
score_L,UP,30,0.1572,0.3197,1.0808
score_L,UP,40,0.2066,0.3174,1.0651
score_FULL_UP,UP,10,0.0545,0.3237,1.1228
score_FULL_UP,UP,20,0.1061,0.3203,1.0936
score_FULL_UP,UP,30,0.1562,0.318,1.0738
score_FULL_UP,UP,40,0.2063,0.3172,1.0634
score_DOWN_A,DOWN,10,0.0555,0.292,1.1447
score_DOWN_A,DOWN,20,0.1064,0.2852,1.0973
score_DOWN_A,DOWN,30,0.1545,0.2806,1.0626
score_DOWN_A,DOWN,40,0.2026,0.2792,1.0455
score_DOWN_B,DOWN,10,0.0535,0.2861,1.1029
score_DOWN_B,DOWN,20,0.1061,0.2851,1.0946
score_DOWN_B,DOWN,30,0.1573,0.2846,1.0824
score_DOWN_B,DOWN,40,0.2084,0.2842,1.0753
score_DOWN_C,DOWN,10,0.0634,0.3211,1.3079
score_DOWN_C,DOWN,20,0.1222,0.3111,1.2605
score_DOWN_C,DOWN,30,0.1766,0.3034,1.2144
score_DOWN_C,DOWN,40,0.2303,0.2987,1.188
score_FULL_DOWN,DOWN,10,0.0565,0.3002,1.1668
score_FULL_DOWN,DOWN,20,0.1096,0.2931,1.1309
score_FULL_DOWN,DOWN,30,0.1649,0.291,1.1347
score_FULL_DOWN,DOWN,40,0.2168,0.2896,1.1188
