feature,direction,pool_size,mean_recall,median_recall,mean_precision,mean_lift,n_dates
mom_5d,UP,20,0.1101,0.1026,0.3317,1.1351,1205
mom_5d,DOWN,20,0.0959,0.0952,0.2785,0.9892,1205
mom_1d,UP,20,0.1095,0.1034,0.3332,1.1293,1205
mom_1d,DOWN,20,0.1079,0.102,0.2978,1.1135,1205
mom_3d,UP,20,0.111,0.1042,0.332,1.1449,1205
mom_3d,DOWN,20,0.1015,0.0992,0.2873,1.0479,1205
mom_20d,UP,20,0.117,0.1062,0.35,1.2069,1205
mom_20d,DOWN,20,0.0943,0.0938,0.2787,0.973,1205
mom_accel,UP,20,0.0937,0.0909,0.3006,0.9665,1205
mom_accel,DOWN,20,0.1203,0.1122,0.326,1.2403,1205
vol_ratio,UP,20,0.1083,0.1,0.3311,1.1168,1205
vol_ratio,DOWN,20,0.101,0.1,0.2805,1.0431,1205
vol_ratio_5,UP,20,0.1077,0.1,0.3292,1.1117,1205
vol_ratio_5,DOWN,20,0.1012,0.1,0.2847,1.0446,1205
vol_trend,UP,20,0.1055,0.0992,0.3254,1.0883,1205
vol_trend,DOWN,20,0.0997,0.0949,0.2767,1.0289,1205
vol_expansion,UP,20,0.1048,0.1014,0.3282,1.0819,1205
vol_expansion,DOWN,20,0.0948,0.0943,0.2738,0.9788,1205
rsi_14,UP,20,0.1071,0.0986,0.3184,1.1044,1205
rsi_14,DOWN,20,0.0826,0.0833,0.254,0.8528,1205
atr_pct,UP,20,0.1173,0.1111,0.3664,1.2109,1205
atr_pct,DOWN,20,0.0718,0.0667,0.2073,0.7411,1205
hv_20,UP,20,0.1154,0.1111,0.3646,1.1909,1205
hv_20,DOWN,20,0.0714,0.068,0.2103,0.7358,1205
range_expansion,UP,20,0.1039,0.098,0.3202,1.0721,1205
range_expansion,DOWN,20,0.0939,0.0909,0.2684,0.9694,1205
breakout_pct,UP,20,0.1027,0.0952,0.3092,1.0584,1205
breakout_pct,DOWN,20,0.107,0.1034,0.3021,1.1038,1205
price_position,UP,20,0.1045,0.0984,0.3158,1.0767,1205
price_position,DOWN,20,0.0823,0.0833,0.25,0.8505,1205
dist_20dma,UP,20,0.1165,0.1071,0.343,1.2015,1205
dist_20dma,DOWN,20,0.0934,0.0921,0.2744,0.9645,1205
dist_52w_high,UP,20,0.0947,0.0968,0.3244,0.9763,1205
dist_52w_high,DOWN,20,0.1091,0.098,0.2743,1.1245,1205
rs_pct_5d,UP,20,0.1101,0.1026,0.3317,1.1351,1205
rs_pct_5d,DOWN,20,0.0959,0.0952,0.2785,0.9892,1205
rs_pct_1d,UP,20,0.1095,0.1034,0.3332,1.1293,1205
rs_pct_1d,DOWN,20,0.1079,0.102,0.2978,1.1135,1205
stock_vs_sector,UP,20,0.109,0.1013,0.3276,1.1246,1205
stock_vs_sector,DOWN,20,0.095,0.0943,0.2762,0.9802,1205
sector_ret_1d,UP,20,0.1039,0.0972,0.3283,1.0716,1205
sector_ret_1d,DOWN,20,0.1027,0.0952,0.2932,1.0591,1205
sector_breadth,UP,20,0.1024,0.0957,0.3214,1.0557,1205
sector_breadth,DOWN,20,0.0987,0.0935,0.2845,1.0181,1205
sector_ret_5d,UP,20,0.1022,0.0956,0.3226,1.0541,1205
sector_ret_5d,DOWN,20,0.1021,0.0952,0.2917,1.0534,1205
gap_pct,UP,20,0.1053,0.1,0.3303,1.0866,1205
gap_pct,DOWN,20,0.1046,0.0992,0.2804,1.0792,1205
consolidation,UP,20,0.0972,0.0932,0.3049,1.0027,1205
consolidation,DOWN,20,0.0987,0.0933,0.269,1.0185,1205
