direction,metric,knowledge_only_oos,knowledge_strat_oos,abs_delta_KSvsK_oos,pass_day_oos,reject_day_oos,reject_day_oos_sample,abs_delta_PvsR_oos,pass_day_full,reject_day_full,abs_delta_PvsR_full,aligned_day_full,contradicted_day_full,neutral_day_full,strategy_additive_full,bootstrap_ci_low,bootstrap_ci_high,prob_pass_gt_reject
UP,dir_acc,0.6151,0.6151,0.0,0.6151,,0,,0.5665,0.6286,-0.0621,,,,False,-0.6605,-0.0853,0.01
UP,ge2_rate,0.2906,0.2906,0.0,0.2906,,0,,0.2411,0.3786,-0.1375,,,,False,,,
UP,ge3_rate,0.2113,0.2113,0.0,0.2113,,0,,0.1741,0.2714,-0.0973,,,,False,,,
UP,avg_fav,2.5873,2.5873,0.0,2.5873,,0,,2.5069,2.9018,-0.3949,,,,False,,,
UP,avg_mfe,3.1251,3.1251,0.0,3.1251,,0,,2.8372,3.1221,-0.2849,,,,False,,,
UP,fp_rate,0.2038,0.2038,0.0,0.2038,,0,,0.2389,0.2786,-0.0397,,,,True,,,
UP,ev,1.0493,1.0493,0.0,1.0493,,0,,0.7886,0.9407,-0.1521,,,,False,,,
DOWN,dir_acc,0.6038,0.6038,0.0,,1.0,5,,0.5429,0.5385,0.0044,0.5429,0.5385,0.6233,False,0.2262,1.1482,0.996
DOWN,ge2_rate,0.2415,0.2415,0.0,,1.0,5,,0.4571,0.2308,0.2263,0.4571,0.2308,0.2349,True,,,
DOWN,ge3_rate,0.1472,0.1472,0.0,,0.4,5,,0.3857,0.1077,0.278,0.3857,0.1077,0.1233,True,,,
DOWN,avg_fav,2.123,2.123,0.0,,3.224,5,,3.7922,1.6761,2.1161,3.7922,1.6761,1.9789,True,,,
DOWN,avg_mfe,2.3447,2.3447,0.0,,3.5941,5,,2.8932,1.817,1.0762,2.8932,1.817,2.2255,True,,,
DOWN,fp_rate,0.2038,0.2038,0.0,,0.0,5,,0.3,0.2154,0.0846,0.3,0.2154,0.1791,True,,,
DOWN,ev,0.7279,0.7279,0.0,,3.224,5,,1.1321,0.3998,0.7323,1.1321,0.3998,0.7438,True,,,
