model,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav,avg_mfe,avg_mae,fp_rate,ev,conc_lift,vs_KN_dir_delta,vs_KN_ge2_delta
V3_20,UP,TRAIN,2141,0.4456,0.2452,0.1355,0.0803,1.7878,1.6674,1.614,0.3199,-0.0844,1.0,-0.0946,-0.0682
A_KN_Top5,UP,TRAIN,535,0.5402,0.3364,0.2037,0.1439,2.3772,2.5772,1.0731,0.2598,0.6201,1.5002,0.0,0.0
A_KN_Top6,UP,TRAIN,642,0.5218,0.3131,0.1885,0.1293,2.2366,2.3905,1.1385,0.271,0.4754,1.3676,-0.0184,-0.0152
B_KnStrat_Top5,UP,TRAIN,535,0.5402,0.3364,0.2037,0.1439,2.3772,2.5772,1.0731,0.2598,0.6201,1.5002,0.0,0.0
B_KnStrat_Top6,UP,TRAIN,642,0.5218,0.3131,0.1885,0.1293,2.2366,2.3905,1.1385,0.271,0.4754,1.3676,-0.0184,-0.0152
C_Strat_Top5,UP,TRAIN,534,0.4326,0.2697,0.176,0.1161,2.2272,1.9911,1.9703,0.3914,-0.1537,1.1984,-0.1076,-0.0277
C_Strat_Top6,UP,TRAIN,641,0.4384,0.2699,0.1622,0.1061,2.1557,1.9297,1.9188,0.3838,-0.1443,1.1577,-0.1018,-0.0415
KN_PASS_days_T5,UP,TRAIN,535,0.5402,0.3364,0.2037,0.1439,2.3772,2.5772,1.0731,0.2598,0.6201,1.5002,0.0,0.0
Random_5,UP,TRAIN,2670,0.4434,0.2472,0.1442,0.0888,1.8774,1.7229,1.6484,0.3255,-0.0675,0.9416,-0.0968,-0.0595
Random_6,UP,TRAIN,3203,0.4443,0.2466,0.1421,0.0865,1.8505,1.7133,1.6508,0.3253,-0.0787,0.9865,-0.0959,-0.0616
V3_20,UP,VAL,1059,0.5127,0.3654,0.2314,0.1586,2.5265,2.4398,1.8618,0.3229,0.3014,1.0,-0.0911,-0.1082
A_KN_Top5,UP,VAL,265,0.6038,0.4679,0.3396,0.2491,2.8765,3.2245,1.2876,0.2528,0.9485,1.5158,0.0,0.0
A_KN_Top6,UP,VAL,318,0.5975,0.4591,0.3208,0.2327,2.8465,3.1878,1.2761,0.2547,0.9387,1.46,-0.0063,-0.0188
B_KnStrat_Top5,UP,VAL,265,0.6038,0.4679,0.3396,0.2491,2.8765,3.2245,1.2876,0.2528,0.9485,1.5158,0.0,0.0
B_KnStrat_Top6,UP,VAL,318,0.5975,0.4591,0.3208,0.2327,2.8465,3.1878,1.2761,0.2547,0.9387,1.46,-0.0063,-0.0188
C_Strat_Top5,UP,VAL,265,0.4943,0.3925,0.2679,0.2151,3.3322,3.2482,2.229,0.3509,0.4496,1.3115,-0.1095,-0.0717
C_Strat_Top6,UP,VAL,318,0.4969,0.3868,0.2673,0.2107,3.2157,3.1695,2.1422,0.3491,0.4498,1.241,-0.1069,-0.0723
KN_PASS_days_T5,UP,VAL,125,0.576,0.448,0.296,0.224,2.8455,3.3392,1.1382,0.224,0.9573,1.4744,-0.0278,-0.0436
KN_REJECT_days_T5,UP,VAL,140,0.6286,0.4857,0.3786,0.2714,2.9018,3.1221,1.4209,0.2786,0.9407,1.5513,0.0248,0.039
Random_5,UP,VAL,1324,0.5106,0.3656,0.2319,0.1654,2.6493,2.5648,1.8764,0.3248,0.3395,1.2196,-0.0932,-0.1077
Random_6,UP,VAL,1589,0.5116,0.3644,0.2329,0.1661,2.6188,2.5446,1.8695,0.3203,0.3432,1.283,-0.0922,-0.1067
V3_20,UP,OOS,1061,0.4873,0.2903,0.1781,0.1112,2.0629,2.0605,1.5348,0.2988,0.1417,1.0,-0.1278,-0.1125
A_KN_Top5,UP,OOS,265,0.6151,0.4226,0.2906,0.2113,2.5873,3.1251,0.823,0.2038,1.0493,1.7149,0.0,0.0
A_KN_Top6,UP,OOS,318,0.5975,0.4088,0.2704,0.2044,2.4959,2.9687,0.8638,0.2138,0.934,1.5488,-0.0176,-0.0202
B_KnStrat_Top5,UP,OOS,265,0.6151,0.4226,0.2906,0.2113,2.5873,3.1251,0.823,0.2038,1.0493,1.7149,0.0,0.0
B_KnStrat_Top6,UP,OOS,318,0.5975,0.4088,0.2704,0.2044,2.4959,2.9687,0.8638,0.2138,0.934,1.5488,-0.0176,-0.0202
C_Strat_Top5,UP,OOS,265,0.5094,0.3283,0.2264,0.1774,2.6812,2.6869,1.8123,0.3434,0.282,1.3274,-0.1057,-0.0642
C_Strat_Top6,UP,OOS,318,0.4937,0.3113,0.2107,0.1635,2.5775,2.4878,1.8347,0.3428,0.1536,1.2322,-0.1214,-0.0799
KN_PASS_days_T5,UP,OOS,265,0.6151,0.4226,0.2906,0.2113,2.5873,3.1251,0.823,0.2038,1.0493,1.7149,0.0,0.0
Random_5,UP,OOS,1325,0.4845,0.2883,0.1811,0.1208,2.1461,2.108,1.5415,0.317,0.1382,1.1883,-0.1306,-0.1095
Random_6,UP,OOS,1590,0.4899,0.2931,0.1811,0.1189,2.1265,2.1057,1.5361,0.3145,0.1456,1.198,-0.1252,-0.1095
V3_20,DOWN,TRAIN,2144,0.5387,0.2812,0.1283,0.0532,1.4216,1.4133,1.4984,0.2388,0.0754,1.0,-0.0763,-0.081
