model,direction,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav,med_fav,avg_mfe,avg_mae,fp_rate,spearman,ev,top1_cap,lift,n_days
V3_20,UP,1061,0.4873,0.2903,0.1781,0.1112,2.0629,1.3867,2.0605,1.5348,0.2988,0.3601,0.1417,,1.0,
A_KN_Top5,UP,265,0.6151,0.4226,0.2906,0.2113,2.5873,1.8614,3.1251,0.823,0.2038,0.3977,1.0493,,1.7149,
A_KN_Top6,UP,318,0.5975,0.4088,0.2704,0.2044,2.4959,1.7875,2.9687,0.8638,0.2138,0.4126,0.934,,1.5488,
B_KnStrat_Top5,UP,265,0.6151,0.4226,0.2906,0.2113,2.5873,1.8614,3.1251,0.823,0.2038,0.3977,1.0493,,1.7149,
B_KnStrat_Top6,UP,318,0.5975,0.4088,0.2704,0.2044,2.4959,1.7875,2.9687,0.8638,0.2138,0.4126,0.934,,1.5488,
C_Strat_Top5,UP,265,0.5094,0.3283,0.2264,0.1774,2.6812,1.6227,2.6869,1.8123,0.3434,-0.1636,0.282,,1.3274,
C_Strat_Top6,UP,318,0.4937,0.3113,0.2107,0.1635,2.5775,1.5956,2.4878,1.8347,0.3428,-0.1678,0.1536,,1.2322,
KN_PASS_days_T5,UP,265,0.6151,0.4226,0.2906,0.2113,2.5873,1.8614,3.1251,0.823,0.2038,0.3977,1.0493,,1.7149,54.0
Random_5,UP,1325,0.4845,0.2883,0.1811,0.1208,2.1461,1.4064,2.108,1.5415,0.317,,0.1382,,1.1883,
Random_6,UP,1590,0.4899,0.2931,0.1811,0.1189,2.1265,1.3963,2.1057,1.5361,0.3145,,0.1456,,1.198,
V3_20,DOWN,1061,0.4882,0.2733,0.1291,0.0594,1.5307,1.1073,1.4025,1.6184,0.2856,0.3558,-0.1071,,1.0,
A_KN_Top5,DOWN,265,0.6038,0.3849,0.2415,0.1472,2.123,1.4122,2.3447,0.7797,0.2038,0.3871,0.7279,,1.7492,
A_KN_Top6,DOWN,318,0.5849,0.3711,0.2201,0.1289,2.0138,1.3257,2.1844,0.8761,0.2201,0.3885,0.5911,,1.5808,
B_KnStrat_Top5,DOWN,265,0.6038,0.3849,0.2415,0.1472,2.123,1.4122,2.3447,0.7797,0.2038,0.3871,0.7279,,1.7492,
B_KnStrat_Top6,DOWN,318,0.5849,0.3711,0.2201,0.1289,2.0138,1.3257,2.1844,0.8761,0.2201,0.3885,0.5911,,1.5808,
C_Strat_Top5,DOWN,265,0.4868,0.3283,0.1811,0.1019,1.9142,1.4785,1.6358,1.8373,0.2943,0.0672,-0.1779,,1.2515,
C_Strat_Top6,DOWN,318,0.478,0.305,0.1698,0.0943,1.8402,1.3898,1.5875,1.8135,0.305,0.0724,-0.1972,,1.1654,
KN_REJECT_days_T5,DOWN,5,1.0,1.0,1.0,0.4,3.224,2.9857,3.5941,-0.8041,0.0,0.3,3.224,,1.6728,1.0
KN_CONTRADICTED_T5,DOWN,5,1.0,1.0,1.0,0.4,3.224,2.9857,3.5941,-0.8041,0.0,0.3,3.224,,1.6728,1.0
KN_NEUTRAL_T5,DOWN,260,0.5962,0.3731,0.2269,0.1423,2.0875,1.3273,2.3207,0.8102,0.2077,0.3715,0.6799,,1.7507,53.0
Random_5,DOWN,1325,0.4815,0.2755,0.1313,0.0619,1.595,1.1544,1.4142,1.6687,0.2913,,-0.1323,,0.984,
Random_6,DOWN,1590,0.4805,0.2818,0.1365,0.066,1.6275,1.1974,1.4498,1.6524,0.2881,,-0.1163,,1.1421,
