direction,split,quintile,strategy_status,n,dir_acc,ge2_rate,ge3_rate,avg_ret,low_sample
UP,VAL,Q1,PASS,144,0.3125,0.1458,0.1111,-0.5941,OK
UP,VAL,Q1,REJECT,136,0.2206,0.0662,0.0588,-1.8152,OK
UP,VAL,Q2,PASS,139,0.4173,0.1439,0.0719,-0.0974,OK
UP,VAL,Q2,REJECT,63,0.4286,0.0476,0.0317,-0.8239,OK
UP,VAL,Q3,PASS,80,0.625,0.25,0.2125,0.8764,OK
UP,VAL,Q3,REJECT,19,0.5263,0.2105,0.1579,0.635,LOW_SAMPLE
UP,VAL,Q4,PASS,118,0.5508,0.2034,0.0847,0.3673,OK
UP,VAL,Q4,REJECT,43,0.5116,0.1163,0.0698,0.0364,OK
UP,VAL,Q5,PASS,198,0.7172,0.4091,0.2929,1.6771,OK
UP,VAL,Q5,REJECT,119,0.7899,0.4874,0.3445,2.1675,OK
UP,OOS,Q1,PASS,203,0.335,0.0985,0.064,-1.1046,OK
UP,OOS,Q1,REJECT,0,,,,,NO_DATA
UP,OOS,Q2,PASS,256,0.3398,0.0742,0.0352,-0.3451,OK
UP,OOS,Q2,REJECT,0,,,,,NO_DATA
UP,OOS,Q3,PASS,124,0.4677,0.121,0.0484,-0.1138,OK
UP,OOS,Q3,REJECT,0,,,,,NO_DATA
UP,OOS,Q4,PASS,208,0.5337,0.2212,0.1298,0.4874,OK
UP,OOS,Q4,REJECT,0,,,,,NO_DATA
UP,OOS,Q5,PASS,269,0.7175,0.3309,0.2342,1.4056,OK
UP,OOS,Q5,REJECT,0,,,,,NO_DATA
UP,FULL,Q1,PASS,707,0.314,0.099,0.0622,-0.9774,OK
UP,FULL,Q1,REJECT,136,0.2206,0.0662,0.0588,-1.8152,OK
UP,FULL,Q2,PASS,1013,0.3751,0.1007,0.0553,-0.3003,OK
UP,FULL,Q2,REJECT,63,0.4286,0.0476,0.0317,-0.8239,OK
UP,FULL,Q3,PASS,563,0.4831,0.1314,0.0693,-0.0038,OK
UP,FULL,Q3,REJECT,19,0.5263,0.2105,0.1579,0.635,LOW_SAMPLE
UP,FULL,Q4,PASS,804,0.5112,0.1679,0.0933,0.2651,OK
UP,FULL,Q4,REJECT,43,0.5116,0.1163,0.0698,0.0364,OK
UP,FULL,Q5,PASS,789,0.6907,0.3333,0.237,1.4087,OK
UP,FULL,Q5,REJECT,119,0.7899,0.4874,0.3445,2.1675,OK
DOWN,VAL,Q1,ALIGNED,153,0.1699,0.0261,0.0196,-2.6755,OK
DOWN,VAL,Q1,NEUTRAL,111,0.3153,0.045,0.018,-0.9369,OK
DOWN,VAL,Q1,CONTRADICTED,34,0.2647,0.0,0.0,-1.6801,OK
DOWN,VAL,Q2,ALIGNED,28,0.25,0.0357,0.0,-0.8838,LOW_SAMPLE
DOWN,VAL,Q2,NEUTRAL,93,0.3333,0.0645,0.0108,-0.4069,OK
DOWN,VAL,Q2,CONTRADICTED,34,0.2941,0.0882,0.0294,-0.8622,OK
DOWN,VAL,Q3,ALIGNED,39,0.5641,0.4359,0.3333,0.7668,OK
DOWN,VAL,Q3,NEUTRAL,96,0.5208,0.0833,0.0208,-0.1551,OK
DOWN,VAL,Q3,CONTRADICTED,51,0.3922,0.0588,0.0196,0.1185,OK
DOWN,VAL,Q4,ALIGNED,24,0.6667,0.4583,0.2917,0.9807,LOW_SAMPLE
DOWN,VAL,Q4,NEUTRAL,50,0.54,0.16,0.1,0.1662,OK
