model,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav,avg_mfe,avg_mae,avg_ret,fp_rate,lift,vs_A_dir_delta,vs_A_ge2_delta
V3_20,UP,TRAIN,2137,0.446,0.2452,0.1352,0.0805,1.7867,1.6636,1.6142,-0.0805,0.3196,1.0,-0.0942,-0.0685
A_KN_Top5,UP,TRAIN,535,0.5402,0.3364,0.2037,0.1439,2.3772,2.5772,1.0731,0.6201,0.2598,1.5051,0.0,0.0
B1_Strict_Top5,UP,TRAIN,535,0.5402,0.3364,0.2037,0.1439,2.3772,2.5772,1.0731,0.6201,0.2598,1.5051,0.0,0.0
B2_Backfill_Top5,UP,TRAIN,535,0.5421,0.3383,0.2037,0.1439,2.3729,2.5826,1.0706,0.6279,0.2561,1.5051,0.0019,0.0
C_Strat_Top5,UP,TRAIN,535,0.4318,0.2692,0.1757,0.1159,2.2272,1.984,1.9686,-0.1524,0.3907,1.203,-0.1084,-0.028
A_KN_Top6,UP,TRAIN,642,0.5218,0.3131,0.1885,0.1293,2.2366,2.3905,1.1385,0.4754,0.271,1.3716,-0.0184,-0.0152
B1_Strict_Top6,UP,TRAIN,642,0.5218,0.3131,0.1885,0.1293,2.2366,2.3905,1.1385,0.4754,0.271,1.3716,-0.0184,-0.0152
B2_Backfill_Top6,UP,TRAIN,642,0.5234,0.3146,0.1885,0.1293,2.2333,2.3955,1.1383,0.4799,0.2695,1.3716,-0.0168,-0.0152
C_Strat_Top6,UP,TRAIN,642,0.4377,0.2695,0.162,0.1059,2.1557,1.9243,1.9163,-0.1419,0.3816,1.1616,-0.1025,-0.0417
V3_20,UP,VAL,1059,0.5127,0.3654,0.2314,0.1586,2.5265,2.4398,1.8618,0.3014,0.3229,1.0,-0.0911,-0.1082
A_KN_Top5,UP,VAL,265,0.6038,0.4679,0.3396,0.2491,2.8765,3.2245,1.2876,0.9485,0.2528,1.5158,0.0,0.0
B1_Strict_Top5,UP,VAL,170,0.6235,0.4941,0.3471,0.2412,2.7899,3.3052,1.1053,1.132,0.1941,0.9195,0.0197,0.0075
B2_Backfill_Top5,UP,VAL,170,0.6235,0.4941,0.3471,0.2412,2.7899,3.3052,1.1053,1.132,0.1941,0.9195,0.0197,0.0075
C_Strat_Top5,UP,VAL,265,0.4943,0.3925,0.2679,0.2151,3.3322,3.2482,2.229,0.4496,0.3509,1.3115,-0.1095,-0.0717
A_KN_Top6,UP,VAL,318,0.5975,0.4591,0.3208,0.2327,2.8465,3.1878,1.2761,0.9387,0.2547,1.46,-0.0063,-0.0188
B1_Strict_Top6,UP,VAL,204,0.6127,0.4853,0.3333,0.2353,2.8244,3.2795,1.1095,1.1437,0.1961,0.9078,0.0089,-0.0063
B2_Backfill_Top6,UP,VAL,204,0.6127,0.4853,0.3333,0.2353,2.8244,3.2795,1.1095,1.1437,0.1961,0.9078,0.0089,-0.0063
C_Strat_Top6,UP,VAL,318,0.4969,0.3868,0.2673,0.2107,3.2157,3.1695,2.1422,0.4498,0.3491,1.241,-0.1069,-0.0723
