model,direction,n,dir_acc,ge2_rate,ge3_rate,avg_mfe,avg_mae,avg_ret,lift,ci_95_low,ci_95_high
V3_20,UP,1060,0.4877,0.1783,0.1113,2.0591,1.5352,0.1441,1.0,,
A_KN_Top5,UP,265,0.6151,0.2906,0.2113,3.1251,0.823,1.0493,1.7149,0.5623,0.6717
B1_Strict_Top5,UP,265,0.6151,0.2906,0.2113,3.1251,0.823,1.0493,1.7149,0.5623,0.6717
B2_Backfill_Top5,UP,265,0.6151,0.2906,0.2113,3.1251,0.823,1.0493,1.7149,,
C_Strat_Top5,UP,265,0.5094,0.2264,0.1774,2.6869,1.8123,0.282,1.3274,,
A_KN_Top6,UP,318,0.5975,0.2704,0.2044,2.9687,0.8638,0.934,1.5488,,
B1_Strict_Top6,UP,318,0.5975,0.2704,0.2044,2.9687,0.8638,0.934,1.5488,,
B2_Backfill_Top6,UP,318,0.5975,0.2704,0.2044,2.9687,0.8638,0.934,1.5488,,
C_Strat_Top6,UP,318,0.4937,0.2107,0.1635,2.4878,1.8347,0.1536,1.2322,,
V3_20,DOWN,1060,0.4877,0.1283,0.0594,1.4028,1.6166,-0.1095,1.0,,
A_KN_Top5,DOWN,265,0.6038,0.2415,0.1509,2.3533,0.7672,0.7303,1.746,0.5472,0.6642
B1_Strict_Top5,DOWN,265,0.6038,0.2415,0.1509,2.3533,0.7672,0.7303,1.746,0.5472,0.6642
B2_Backfill_Top5,DOWN,265,0.6038,0.2415,0.1509,2.3533,0.7672,0.7303,1.746,,
C_Strat_Top5,DOWN,265,0.6038,0.2415,0.1509,2.3533,0.7672,0.7303,1.746,,
A_KN_Top6,DOWN,318,0.5849,0.217,0.1289,2.1848,0.8674,0.5864,1.5731,,
B1_Strict_Top6,DOWN,318,0.5849,0.217,0.1289,2.1848,0.8674,0.5864,1.5731,,
B2_Backfill_Top6,DOWN,318,0.5849,0.217,0.1289,2.1848,0.8674,0.5864,1.5731,,
C_Strat_Top6,DOWN,318,0.5849,0.217,0.1289,2.1848,0.8674,0.5864,1.5731,,
