pool_size,period,up_recall,up_precision,up_lift,down_recall,down_precision,down_lift
10,train,0.1044,0.2298,2.091,0.0753,0.1576,1.5085
15,train,0.1432,0.2181,1.9125,0.1046,0.1489,1.391
20,train,0.1813,0.2096,1.8176,0.1325,0.1435,1.3221
25,train,0.2116,0.2003,1.6976,0.1585,0.1392,1.2662
30,train,0.2444,0.194,1.6336,0.1844,0.1376,1.2286
40,train,0.3002,0.1825,1.5045,0.2335,0.1333,1.168
10,oos,0.0799,0.1899,1.6335,0.0697,0.1544,1.4191
15,oos,0.1149,0.1854,1.5614,0.1036,0.1535,1.4013
20,oos,0.1514,0.1829,1.5371,0.1301,0.1504,1.3228
25,oos,0.1827,0.1769,1.4824,0.1554,0.1466,1.2646
30,oos,0.2091,0.1717,1.4164,0.1809,0.1433,1.2235
40,oos,0.2625,0.165,1.3457,0.2323,0.1407,1.1881
10,all,0.0945,0.2137,1.9055,0.073,0.1563,1.4722
15,all,0.1317,0.2048,1.7702,0.1042,0.1507,1.3952
20,all,0.1692,0.1988,1.7038,0.1315,0.1463,1.3224
25,all,0.1999,0.1908,1.6104,0.1573,0.1422,1.2655
30,all,0.23,0.185,1.5455,0.183,0.1399,1.2265
40,all,0.2849,0.1754,1.4402,0.233,0.1363,1.1762
