model,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav,avg_mfe,avg_mae,fp_rate,conc_lift,top1_cap,spearman_dir,vs_v3top5_dir_delta,vs_v3top5_ge2_delta
V3_20,UP,TRAIN,2137,0.446,0.2452,0.1352,0.0805,1.7867,1.6636,1.6142,0.3196,1.0,,-0.0164,0.0134,-0.0408
A_V3_Top5,UP,TRAIN,534,0.4326,0.2697,0.176,0.1161,2.2272,1.9877,1.9723,0.3914,1.203,0.3551,-0.0245,0.0,0.0
A_V3_Top6,UP,TRAIN,641,0.4384,0.2699,0.1622,0.1061,2.1557,1.9273,1.9193,0.3822,1.1616,0.3738,-0.0242,0.0058,-0.0138
C1_Top5,UP,TRAIN,535,0.5364,0.3402,0.1944,0.1308,2.1997,2.3999,1.2974,0.2822,1.3995,0.4019,0.1652,0.1038,0.0184
C1_Top6,UP,TRAIN,642,0.5125,0.3084,0.1776,0.1168,2.1213,2.2643,1.3352,0.2866,1.3031,0.4486,0.1992,0.0799,0.0016
C1_Top10,UP,TRAIN,1070,0.486,0.286,0.1579,0.1,1.9718,2.0297,1.4152,0.3065,1.1857,0.5981,0.2204,0.0534,-0.0181
C2_Top5,UP,TRAIN,535,0.5402,0.3364,0.2037,0.1439,2.3772,2.5772,1.0731,0.2598,1.5051,0.4579,0.2842,0.1076,0.0277
C2_Top6,UP,TRAIN,642,0.5218,0.3131,0.1885,0.1293,2.2366,2.3905,1.1385,0.271,1.3716,0.486,0.304,0.0892,0.0125
C3_Top5,UP,TRAIN,535,0.4467,0.286,0.1907,0.1271,2.3773,2.151,1.849,0.385,1.2835,0.3832,0.2534,0.0141,0.0147
C3_Top6,UP,TRAIN,642,0.4424,0.2788,0.1791,0.1184,2.3084,2.0521,1.8469,0.3785,1.2442,0.4206,0.228,0.0098,0.0031
C4_Top5,UP,TRAIN,535,0.5364,0.3402,0.1944,0.1308,2.1997,2.3999,1.2974,0.2822,1.3995,0.4019,0.1897,0.1038,0.0184
C4_Top6,UP,TRAIN,642,0.5125,0.3084,0.1776,0.1168,2.1213,2.2643,1.3352,0.2866,1.3031,0.4486,0.2092,0.0799,0.0016
C5_Top5,UP,TRAIN,534,0.5412,0.3371,0.2041,0.1442,2.3772,2.582,1.0751,0.2603,1.5051,0.4579,0.2563,0.1086,0.0281
C5_Top6,UP,TRAIN,641,0.5226,0.3136,0.1888,0.1295,2.2366,2.3942,1.1403,0.2715,1.3716,0.486,0.2516,0.09,0.0128
C1_Low_Top5,UP,TRAIN,535,0.3757,0.2206,0.1234,0.0729,1.821,1.3503,2.12,0.3813,0.8078,0.1682,0.2106,-0.0569,-0.0526
Random_5,UP,TRAIN,2670,0.4423,0.2464,0.1434,0.0888,1.8755,1.7215,1.6477,0.3258,0.9426,0.2336,,0.0097,-0.0326
Random_6,UP,TRAIN,3203,0.444,0.2466,0.1414,0.0865,1.8485,1.7132,1.6469,0.3253,0.9876,0.3084,,0.0114,-0.0346
V3_20,UP,VAL,1059,0.5127,0.3654,0.2314,0.1586,2.5265,2.4398,1.8618,0.3229,1.0,,0.0082,0.0184,-0.0365
A_V3_Top5,UP,VAL,265,0.4943,0.3925,0.2679,0.2151,3.3322,3.2482,2.229,0.3509,1.3115,0.5094,0.0202,0.0,0.0
A_V3_Top6,UP,VAL,318,0.4969,0.3868,0.2673,0.2107,3.2157,3.1695,2.1422,0.3491,1.241,0.5472,0.0152,0.0026,-0.0006
C1_Top5,UP,VAL,265,0.5547,0.4189,0.2717,0.2038,2.9518,3.2698,1.7346,0.3094,1.4525,0.4717,0.2332,0.0604,0.0038
C1_Top6,UP,VAL,318,0.5692,0.4151,0.2767,0.2075,2.847,3.2112,1.676,0.2956,1.4058,0.5472,0.254,0.0749,0.0088
C1_Top10,UP,VAL,530,0.5528,0.4094,0.2698,0.183,2.6887,2.9265,1.6942,0.3,1.2126,0.6415,0.3162,0.0585,0.0019
C2_Top5,UP,VAL,265,0.6038,0.4679,0.3396,0.2491,2.8765,3.2245,1.2876,0.2528,1.5158,0.4151,0.4807,0.1095,0.0717
C2_Top6,UP,VAL,318,0.5975,0.4591,0.3208,0.2327,2.8465,3.1878,1.2761,0.2547,1.46,0.4906,0.4672,0.1032,0.0529
C3_Top5,UP,VAL,265,0.5132,0.4189,0.3132,0.2528,3.4445,3.325,2.0916,0.3434,1.3972,0.4906,0.4165,0.0189,0.0453
C3_Top6,UP,VAL,318,0.5157,0.4119,0.305,0.2421,3.3656,3.2691,1.9824,0.3396,1.3192,0.5283,0.3986,0.0214,0.0371
C4_Top5,UP,VAL,265,0.5547,0.4189,0.2717,0.2038,2.9518,3.2698,1.7346,0.3094,1.4525,0.4717,0.2731,0.0604,0.0038
C4_Top6,UP,VAL,318,0.5692,0.4151,0.2767,0.2075,2.847,3.2112,1.676,0.2956,1.4058,0.5472,0.296,0.0749,0.0088
C5_Top5,UP,VAL,265,0.6038,0.4679,0.3396,0.2491,2.8765,3.2245,1.2876,0.2528,1.5158,0.4151,0.2253,0.1095,0.0717
C5_Top6,UP,VAL,318,0.5975,0.4591,0.3208,0.2327,2.8465,3.1878,1.2761,0.2547,1.46,0.4906,0.2229,0.1032,0.0529
C1_Low_Top5,UP,VAL,265,0.4453,0.3094,0.1887,0.1547,2.7331,2.1936,2.5175,0.3849,0.9363,0.3019,0.2652,-0.049,-0.0792
Random_5,UP,VAL,1324,0.5106,0.3656,0.2319,0.1654,2.6493,2.5648,1.8764,0.3248,1.2196,0.434,,0.0163,-0.036
Random_6,UP,VAL,1589,0.5116,0.3644,0.2329,0.1661,2.6188,2.5446,1.8695,0.3203,1.283,0.5849,,0.0173,-0.035
V3_20,UP,OOS,1060,0.4877,0.2906,0.1783,0.1113,2.0629,2.0591,1.5352,0.2981,1.0,,-0.0295,-0.0217,-0.0481
A_V3_Top5,UP,OOS,265,0.5094,0.3283,0.2264,0.1774,2.6812,2.6869,1.8123,0.3434,1.3274,0.4906,-0.0288,0.0,0.0
A_V3_Top6,UP,OOS,318,0.4937,0.3113,0.2107,0.1635,2.5775,2.4878,1.8347,0.3428,1.2322,0.5283,0.0095,-0.0157,-0.0157
C1_Top5,UP,OOS,265,0.5472,0.3547,0.2415,0.1962,2.694,2.9105,1.2071,0.2453,1.5171,0.5283,0.1854,0.0378,0.0151
C1_Top6,UP,OOS,318,0.5535,0.3459,0.239,0.1855,2.5698,2.8486,1.1826,0.2484,1.4522,0.566,0.2094,0.0441,0.0126
C1_Top10,UP,OOS,530,0.5528,0.3509,0.2302,0.1585,2.3829,2.6191,1.2483,0.2472,1.339,0.7358,0.2747,0.0434,0.0038
C2_Top5,UP,OOS,265,0.6151,0.4226,0.2906,0.2113,2.5873,3.1251,0.823,0.2038,1.7149,0.5472,0.3977,0.1057,0.0642
C2_Top6,UP,OOS,318,0.5975,0.4088,0.2704,0.2044,2.4959,2.9687,0.8638,0.2138,1.5488,0.5472,0.4126,0.0881,0.044
