trading_date,model,direction,n_selected,dir_acc,ge2_rate,ge3_rate,avg_fav,avg_mfe,avg_mae,fp_rate,regime
2026-05-14,V3_20,UP,20,0.25,0.1,0.05,1.7495,1.6363,2.6838,0.55,RANGE
2026-05-14,A_V3_Top5,UP,5,0.2,0.0,0.0,0.1449,1.2776,3.3128,0.6,RANGE
2026-05-14,A_V3_Top6,UP,6,0.1667,0.0,0.0,0.1449,1.5297,3.1804,0.5,RANGE
2026-05-14,C1_Top5,UP,5,0.4,0.0,0.0,0.794,1.9277,1.7797,0.4,RANGE
2026-05-14,C1_Top6,UP,6,0.3333,0.0,0.0,0.794,2.3885,2.3869,0.5,RANGE
2026-05-14,C2_Top5,UP,5,0.4,0.0,0.0,0.794,2.6962,2.2082,0.4,RANGE
2026-05-14,C2_Top6,UP,6,0.3333,0.0,0.0,0.794,2.601,2.0741,0.5,RANGE
2026-05-14,C3_Top5,UP,5,0.2,0.0,0.0,0.1449,2.1399,2.9455,0.6,RANGE
2026-05-14,C4_Top5,UP,5,0.4,0.0,0.0,0.794,1.9277,1.7797,0.4,RANGE
2026-05-14,C5_Top5,UP,5,0.4,0.0,0.0,0.794,2.6962,2.2082,0.4,RANGE
2026-05-14,Random_5,UP,5,0.2,0.0,0.0,1.4431,2.7102,2.3449,0.6,RANGE
2026-05-14,V3_20,DOWN,20,0.65,0.3,0.1,1.9,2.1961,1.2723,0.15,RANGE
2026-05-14,A_V3_Top5,DOWN,5,1.0,0.2,0.0,1.1789,1.9149,0.9242,0.0,RANGE
2026-05-14,A_V3_Top6,DOWN,6,1.0,0.1667,0.0,1.2036,2.002,0.8404,0.0,RANGE
2026-05-14,C1_Top5,DOWN,5,0.8,0.2,0.0,1.6815,2.2193,0.5997,0.0,RANGE
2026-05-14,C1_Top6,DOWN,6,0.8333,0.1667,0.0,1.5304,2.0565,0.6315,0.0,RANGE
2026-05-14,C2_Top5,DOWN,5,0.8,0.2,0.2,1.7806,2.2332,0.5607,0.0,RANGE
2026-05-14,C2_Top6,DOWN,6,0.8333,0.1667,0.1667,1.6097,2.0681,0.599,0.0,RANGE
2026-05-14,C3_Top5,DOWN,5,1.0,0.2,0.0,1.1789,1.9149,0.9242,0.0,RANGE
2026-05-14,C4_Top5,DOWN,5,0.8,0.2,0.0,1.6815,2.2193,0.5997,0.0,RANGE
2026-05-14,C5_Top5,DOWN,5,0.8,0.2,0.2,1.7806,2.2332,0.5607,0.0,RANGE
2026-05-14,Random_5,DOWN,5,1.0,0.8,0.2,2.4166,2.9144,0.5134,0.0,RANGE
2026-05-15,V3_20,UP,20,0.35,0.1,0.1,1.7278,0.9262,2.6699,0.25,RANGE
2026-05-15,A_V3_Top5,UP,5,0.4,0.2,0.2,2.1216,0.8131,2.7726,0.4,RANGE
2026-05-15,A_V3_Top6,UP,6,0.5,0.3333,0.3333,2.5991,1.3133,2.4517,0.3333,RANGE
2026-05-15,C1_Top5,UP,5,0.6,0.4,0.4,2.5991,2.1947,2.2397,0.2,RANGE
