trading_date,symbol,direction,split,regime,v3_score,gap_pct,gap_score,gap_direction,t_close,t1_open,mfe_pct,mae_pct,t1_ret_pct,information_horizon
2025-09-16,COCHINSHIP.NS,UP,TRAIN,RANGE,0.9621,0.0,0.5,NO_GAP,1821.6,1821.6,5.610452349582795,0.08234519104084459,3.7824,POST_OPEN
2025-09-16,PARAS.NS,UP,TRAIN,RANGE,0.9621,0.04061188574522312,0.5,NO_GAP,738.7,739.0,3.560308650331656,0.7716258291593392,1.2387,POST_OPEN
2025-09-16,MIDHANI.NS,UP,TRAIN,RANGE,0.9434,0.25550553595328207,0.5,NO_GAP,410.95,412.0,1.4721985643022295,0.6448473050249315,0.3893,POST_OPEN
2025-09-16,HFCL.NS,UP,TRAIN,RANGE,0.9141,0.6277792309704378,1.0,GAP_UP,76.46,76.94,0.9809050483913229,2.1710698404394435,-1.7526,POST_OPEN
2025-09-16,MOTHERSON.NS,UP,TRAIN,RANGE,0.9085,0.5551005551005517,1.0,GAP_UP,109.89,110.5,1.8291018291018313,0.9282009282009285,-0.5005,POST_OPEN
2025-09-16,BDL.NS,UP,TRAIN,RANGE,0.8932,0.13084112149532867,0.5,NO_GAP,1605.0,1607.1,1.9688473520249161,-0.13084112149532867,1.2212,POST_OPEN
2025-09-16,RADICO.NS,UP,TRAIN,RANGE,0.8917,0.2170718747352307,0.5,NO_GAP,2994.3999,3000.8999,0.7514026433142806,0.46085360876481074,0.551,POST_OPEN
2025-09-16,IRCON.NS,UP,TRAIN,RANGE,0.8862,0.4157442902650965,1.0,GAP_UP,185.21,185.98,2.3162896171913028,1.3282220182495585,0.9773,POST_OPEN
2025-09-16,DATAPATTNS.NS,UP,TRAIN,RANGE,0.8735,0.286010633720335,0.5,NO_GAP,2762.1001,2770.0,5.8976827088924155,-0.13395242265115126,3.9137,POST_OPEN
2025-09-16,PERSISTENT.NS,UP,TRAIN,RANGE,0.859,0.8013842090884182,1.0,GAP_UP,5490.5,5534.5,3.6335488571168417,-0.45533193698206187,0.8196,POST_OPEN
2025-09-16,RVNL.NS,UP,TRAIN,RANGE,0.858,0.3099464637926319,1.0,GAP_UP,354.9,356.0,4.21245421245422,-0.19723865877714353,1.6624,POST_OPEN
2025-09-16,RAILTEL.NS,UP,TRAIN,RANGE,0.8529,1.750850233026835,1.0,GAP_UP,396.95,403.9,4.018138304572361,0.5038417936767847,0.9951,POST_OPEN
2025-09-16,SOBHA.NS,UP,TRAIN,RANGE,0.85,0.0,0.5,NO_GAP,1589.4,1589.4,1.849754624386546,0.2642506606266526,1.1451,POST_OPEN
2025-09-16,TIINDIA.NS,UP,TRAIN,RANGE,0.8444,-0.12924157352959265,0.0,NO_GAP,3404.3999,3400.0,0.2908030869111622,1.21607041522942,-0.5111,POST_OPEN
2025-09-16,MGL.NS,UP,TRAIN,RANGE,0.8434,0.6455399061032763,1.0,GAP_UP,1363.2,1372.0,1.085680751173701,0.9683098591549366,-0.1174,POST_OPEN
2025-09-16,GRSE.NS,UP,TRAIN,RANGE,0.8342,0.4958365774699658,1.0,GAP_UP,2440.3,2452.3999,7.568741548170288,-0.39749211162560805,6.6918,POST_OPEN
2025-09-16,JSWENERGY.NS,UP,TRAIN,RANGE,0.8248,0.3425608739931585,1.0,GAP_UP,540.05,541.9,0.9721322099805585,1.1202666419775853,-0.9351,POST_OPEN
2025-09-16,NHPC.NS,UP,TRAIN,RANGE,0.8248,-0.34984764699244053,0.0,GAP_DOWN,88.61,88.3,-0.2031373434149608,2.0878004739871336,-1.58,POST_OPEN
2025-09-16,IDEA.NS,UP,TRAIN,RANGE,0.8233,0.37783375314861534,1.0,GAP_UP,7.94,7.97,0.7556675062972307,2.896725440806047,-2.1411,POST_OPEN
2025-09-16,NCC.NS,UP,TRAIN,RANGE,0.8192,0.6292218006847428,1.0,GAP_UP,216.14,217.5,0.7680207273063955,0.5737022300360772,-0.1758,POST_OPEN
2025-09-16,M&M.NS,DOWN,TRAIN,RANGE,0.8993,0.0,0.5,NO_GAP,3608.0,3608.0,0.4129684035476644,1.0227245011086517,0.6984,POST_OPEN
2025-09-16,TVSMOTOR.NS,DOWN,TRAIN,RANGE,0.8613,0.14286122868827356,0.0,NO_GAP,3499.8999,3504.8999,0.2514300480422227,0.7057401841692679,0.0057,POST_OPEN
2025-09-16,EICHERMOT.NS,DOWN,TRAIN,RANGE,0.8311,-0.09382894261998898,0.5,NO_GAP,6927.5,6921.0,0.6928906531937895,0.15156983038613348,-0.5341,POST_OPEN
