trading_date,symbol,direction,split,regime,v3_score,knowledge_score,knowledge_confidence,conflict_type,inv_knowledge_score,t1_ret_pct,kn_group,v3_favorable
2025-09-16,COCHINSHIP.NS,UP,TRAIN,RANGE,0.9621,1.0,HIGH,ALIGNED,0.0,3.7824,HIGH_KN,True
2025-09-16,PARAS.NS,UP,TRAIN,RANGE,0.9621,0.875,HIGH,ALIGNED,0.125,1.2387,HIGH_KN,True
2025-09-16,MIDHANI.NS,UP,TRAIN,RANGE,0.9434,1.0,HIGH,ALIGNED,0.0,0.3893,HIGH_KN,True
2025-09-16,HFCL.NS,UP,TRAIN,RANGE,0.9141,1.0,HIGH,ALIGNED,0.0,-1.7526,HIGH_KN,False
2025-09-16,MOTHERSON.NS,UP,TRAIN,RANGE,0.9085,0.75,HIGH,ALIGNED,0.25,-0.5005,HIGH_KN,False
2025-09-16,BDL.NS,UP,TRAIN,RANGE,0.8932,0.75,HIGH,ALIGNED,0.25,1.2212,HIGH_KN,True
2025-09-16,RADICO.NS,UP,TRAIN,RANGE,0.8917,0.875,HIGH,ALIGNED,0.125,0.551,HIGH_KN,True
2025-09-16,IRCON.NS,UP,TRAIN,RANGE,0.8862,1.0,HIGH,ALIGNED,0.0,0.9773,HIGH_KN,True
2025-09-16,DATAPATTNS.NS,UP,TRAIN,RANGE,0.8735,0.875,HIGH,ALIGNED,0.125,3.9137,HIGH_KN,True
2025-09-16,PERSISTENT.NS,UP,TRAIN,RANGE,0.859,1.0,HIGH,ALIGNED,0.0,0.8196,HIGH_KN,True
2025-09-16,RVNL.NS,UP,TRAIN,RANGE,0.858,1.0,HIGH,ALIGNED,0.0,1.6624,HIGH_KN,True
2025-09-16,RAILTEL.NS,UP,TRAIN,RANGE,0.8529,0.75,HIGH,ALIGNED,0.25,0.9951,HIGH_KN,True
2025-09-16,SOBHA.NS,UP,TRAIN,RANGE,0.85,0.75,HIGH,ALIGNED,0.25,1.1451,HIGH_KN,True
2025-09-16,TIINDIA.NS,UP,TRAIN,RANGE,0.8444,0.75,HIGH,ALIGNED,0.25,-0.5111,HIGH_KN,False
2025-09-16,MGL.NS,UP,TRAIN,RANGE,0.8434,1.0,HIGH,ALIGNED,0.0,-0.1174,HIGH_KN,False
2025-09-16,GRSE.NS,UP,TRAIN,RANGE,0.8342,0.75,HIGH,ALIGNED,0.25,6.6918,HIGH_KN,True
2025-09-16,JSWENERGY.NS,UP,TRAIN,RANGE,0.8248,1.0,HIGH,ALIGNED,0.0,-0.9351,HIGH_KN,False
2025-09-16,NHPC.NS,UP,TRAIN,RANGE,0.8248,1.0,HIGH,ALIGNED,0.0,-1.58,HIGH_KN,False
2025-09-16,IDEA.NS,UP,TRAIN,RANGE,0.8233,0.75,HIGH,ALIGNED,0.25,-2.1411,HIGH_KN,False
2025-09-16,NCC.NS,UP,TRAIN,RANGE,0.8192,1.0,HIGH,ALIGNED,0.0,-0.1758,HIGH_KN,False
2025-09-16,M&M.NS,DOWN,TRAIN,RANGE,0.8993,0.5,MEDIUM,ALIGNED,0.5,0.6984,HIGH_KN,False
2025-09-16,TVSMOTOR.NS,DOWN,TRAIN,RANGE,0.8613,0.75,HIGH,ALIGNED,0.25,0.0057,HIGH_KN,False
2025-09-16,EICHERMOT.NS,DOWN,TRAIN,RANGE,0.8311,0.375,MEDIUM,CONFLICT,0.625,-0.5341,LOW_KN,True
2025-09-16,JPPOWER.NS,DOWN,TRAIN,RANGE,0.8235,0.625,HIGH,ALIGNED,0.375,-0.1572,HIGH_KN,True
2025-09-16,ENDURANCE.NS,DOWN,TRAIN,RANGE,0.8112,0.75,HIGH,ALIGNED,0.25,-1.427,HIGH_KN,True
2025-09-16,BAJAJ-AUTO.NS,DOWN,TRAIN,RANGE,0.7981,0.75,HIGH,ALIGNED,0.25,0.1268,HIGH_KN,False
2025-09-16,WHIRLPOOL.NS,DOWN,TRAIN,RANGE,0.7872,0.5,MEDIUM,ALIGNED,0.5,-1.4761,HIGH_KN,True
2025-09-16,RBLBANK.NS,DOWN,TRAIN,RANGE,0.787,0.625,HIGH,ALIGNED,0.375,-1.0849,HIGH_KN,True
2025-09-16,ASHOKLEY.NS,DOWN,TRAIN,RANGE,0.7846,0.625,HIGH,ALIGNED,0.375,1.6575,HIGH_KN,False
2025-09-16,CENTUM.NS,DOWN,TRAIN,RANGE,0.7838,0.75,HIGH,ALIGNED,0.25,0.1225,HIGH_KN,False
2025-09-16,GLENMARK.NS,DOWN,TRAIN,RANGE,0.78,0.75,HIGH,ALIGNED,0.25,-1.6659,HIGH_KN,True
2025-09-16,BSE.NS,DOWN,TRAIN,RANGE,0.7711,0.625,HIGH,ALIGNED,0.375,0.4774,HIGH_KN,False
