trading_date,symbol,direction,v3_score,knowledge_score,knowledge_confidence,conflict_type,t1_ret_pct,v3_favorable,knowledge_favorable,split
2025-09-16,COCHINSHIP.NS,UP,0.9621,1.0,HIGH,ALIGNED,3.7824,True,True,TRAIN
2025-09-16,PARAS.NS,UP,0.9621,0.875,HIGH,ALIGNED,1.2387,True,True,TRAIN
2025-09-16,MIDHANI.NS,UP,0.9434,1.0,HIGH,ALIGNED,0.3893,True,True,TRAIN
2025-09-16,HFCL.NS,UP,0.9141,1.0,HIGH,ALIGNED,-1.7526,False,False,TRAIN
2025-09-16,MOTHERSON.NS,UP,0.9085,0.75,HIGH,ALIGNED,-0.5005,False,False,TRAIN
2025-09-16,BDL.NS,UP,0.8932,0.75,HIGH,ALIGNED,1.2212,True,True,TRAIN
2025-09-16,RADICO.NS,UP,0.8917,0.875,HIGH,ALIGNED,0.551,True,True,TRAIN
2025-09-16,IRCON.NS,UP,0.8862,1.0,HIGH,ALIGNED,0.9773,True,True,TRAIN
2025-09-16,DATAPATTNS.NS,UP,0.8735,0.875,HIGH,ALIGNED,3.9137,True,True,TRAIN
2025-09-16,PERSISTENT.NS,UP,0.859,1.0,HIGH,ALIGNED,0.8196,True,True,TRAIN
2025-09-16,RVNL.NS,UP,0.858,1.0,HIGH,ALIGNED,1.6624,True,True,TRAIN
2025-09-16,RAILTEL.NS,UP,0.8529,0.75,HIGH,ALIGNED,0.9951,True,True,TRAIN
2025-09-16,SOBHA.NS,UP,0.85,0.75,HIGH,ALIGNED,1.1451,True,True,TRAIN
2025-09-16,TIINDIA.NS,UP,0.8444,0.75,HIGH,ALIGNED,-0.5111,False,False,TRAIN
2025-09-16,MGL.NS,UP,0.8434,1.0,HIGH,ALIGNED,-0.1174,False,False,TRAIN
2025-09-16,GRSE.NS,UP,0.8342,0.75,HIGH,ALIGNED,6.6918,True,True,TRAIN
2025-09-16,JSWENERGY.NS,UP,0.8248,1.0,HIGH,ALIGNED,-0.9351,False,False,TRAIN
2025-09-16,NHPC.NS,UP,0.8248,1.0,HIGH,ALIGNED,-1.58,False,False,TRAIN
2025-09-16,IDEA.NS,UP,0.8233,0.75,HIGH,ALIGNED,-2.1411,False,False,TRAIN
2025-09-16,NCC.NS,UP,0.8192,1.0,HIGH,ALIGNED,-0.1758,False,False,TRAIN
2025-09-17,ONMOBILE.NS,UP,0.992,0.75,HIGH,ALIGNED,0.6871,True,True,TRAIN
2025-09-17,COCHINSHIP.NS,UP,0.9833,0.875,HIGH,ALIGNED,0.8939,True,True,TRAIN
