combo,direction,n,directional_acc,ge1pct_rate,ge2pct_rate,ge3pct_rate,avg_fav_ret,avg_mfe,avg_mae
mom_5d_positive,UP,4130,0.4695,0.2852,0.1692,0.107,2.0619,1.9441,-1.6611
mom_5d_positive,DN,3915,0.5124,0.2932,0.1494,0.0764,-1.6233,1.5511,-1.5404
mom_accel_positive,UP,3878,0.4722,0.2844,0.1686,0.1065,2.0459,1.9366,-1.6447
mom_accel_positive,DN,4054,0.5123,0.2908,0.148,0.0757,-1.6186,1.5459,-1.5391
vol_above_avg,UP,2611,0.4588,0.2834,0.17,0.1092,2.1367,1.997,-1.7584
vol_above_avg,DN,1112,0.4928,0.2959,0.161,0.098,-1.8887,1.7449,-1.7108
rsi_momentum_zone,UP,2887,0.469,0.2764,0.1579,0.0987,1.9585,1.8722,-1.6317
rsi_momentum_zone,DN,984,0.5163,0.2805,0.1341,0.0528,-1.4731,1.4786,-1.5816
price_position_high,UP,3273,0.4739,0.2851,0.1705,0.1091,2.0496,1.9685,-1.6538
price_position_high,DN,2041,0.5213,0.2964,0.1504,0.074,-1.6056,1.552,-1.4625
outperforms_market,UP,3163,0.4717,0.2887,0.172,0.1091,2.0901,1.9703,-1.6505
outperforms_market,DN,3119,0.5098,0.2956,0.1488,0.0776,-1.6312,1.5515,-1.5377
mom_5d_positive+vol_above_avg,UP,2528,0.4553,0.2816,0.1693,0.108,2.1427,1.9868,-1.7594
mom_5d_positive+vol_above_avg,DN,1066,0.4897,0.2946,0.1585,0.0957,-1.8594,1.7066,-1.7169
mom_5d_positive+rsi_momentum_zone,UP,2836,0.4683,0.2779,0.158,0.0987,1.9651,1.8697,-1.6307
mom_5d_positive+rsi_momentum_zone,DN,724,0.5083,0.2735,0.134,0.0525,-1.4364,1.4314,-1.5964
mom_5d_positive+outperforms_market,UP,3080,0.4688,0.288,0.1718,0.1091,2.1012,1.9655,-1.6507
mom_5d_positive+outperforms_market,DN,2922,0.511,0.2974,0.1492,0.0787,-1.6349,1.5507,-1.5491
mom_accel_positive+vol_above_avg,UP,2356,0.4597,0.2835,0.1719,0.1108,2.1383,1.9975,-1.7395
mom_accel_positive+vol_above_avg,DN,1053,0.4938,0.2963,0.1614,0.0988,-1.8883,1.7276,-1.7213
vol_above_avg+price_position_high,UP,2130,0.4587,0.2798,0.17,0.1075,2.125,2.0035,-1.7443
vol_above_avg+price_position_high,DN,539,0.5028,0.2987,0.1577,0.0928,-1.7794,1.6947,-1.5395
rsi_momentum_zone+vol_above_avg,UP,1733,0.4484,0.2689,0.1558,0.0992,2.0418,1.9009,-1.7367
rsi_momentum_zone+vol_above_avg,DN,106,0.4434,0.2547,0.1509,0.1038,-1.9814,1.9243,-1.9262
mom_5d_positive+mom_accel_positive+vol_above_avg,UP,2297,0.4562,0.2808,0.1702,0.1088,2.1341,1.9846,-1.7403
mom_5d_positive+mom_accel_positive+vol_above_avg,DN,1017,0.4916,0.295,0.1593,0.0964,-1.8572,1.6996,-1.7134
mom_5d_positive+vol_above_avg+price_position_high,UP,2118,0.458,0.2805,0.17,0.1072,2.1302,2.0043,-1.7436
mom_5d_positive+vol_above_avg+price_position_high,DN,533,0.5028,0.2964,0.1557,0.0919,-1.7613,1.6697,-1.5559
mom_5d_positive+rsi_momentum_zone+vol_above_avg,UP,1698,0.4494,0.2709,0.1561,0.0989,2.045,1.9004,-1.7305
mom_5d_positive+rsi_momentum_zone+vol_above_avg,DN,73,0.3836,0.2329,0.1233,0.0822,-1.7139,1.6893,-2.0058
mom_5d_positive+mom_accel_positive+outperforms_market,UP,2828,0.4668,0.2861,0.1704,0.1082,2.0944,1.9442,-1.6432
mom_5d_positive+mom_accel_positive+outperforms_market,DN,2806,0.5093,0.2944,0.1475,0.0784,-1.6254,1.5402,-1.55
mom_5d_positive+mom_accel_positive+vol_above_avg+price_position_high,UP,1900,0.4589,0.2795,0.1711,0.1084,2.1202,2.0031,-1.7232
mom_5d_positive+mom_accel_positive+vol_above_avg+price_position_high,DN,500,0.516,0.306,0.164,0.098,-1.7866,1.6773,-1.5361
