trading_date,t1_date,universe_size,split,market_regime,market_ret_1d,V3_20_UP_dir_acc,V3_20_UP_ge2_rate,V3_20_UP_ge3_rate,V3_20_UP_avg_ret,V3_20_DN_dir_acc,V3_20_DN_ge2_rate,V3_20_DN_ge3_rate,V3_20_DN_avg_ret,V3_Top5_UP_dir_acc,V3_Top5_UP_ge2_rate,V3_Top5_UP_ge3_rate,V3_Top5_UP_avg_ret,V3_Top5_DN_dir_acc,V3_Top5_DN_ge2_rate,V3_Top5_DN_ge3_rate,V3_Top5_DN_avg_ret,Know_Top10_UP_dir_acc,Know_Top10_UP_ge2_rate,Know_Top10_UP_ge3_rate,Know_Top10_UP_avg_ret,Know_Top10_DN_dir_acc,Know_Top10_DN_ge2_rate,Know_Top10_DN_ge3_rate,Know_Top10_DN_avg_ret,Know_Top6_UP_dir_acc,Know_Top6_UP_ge2_rate,Know_Top6_UP_ge3_rate,Know_Top6_UP_avg_ret,Know_Top6_DN_dir_acc,Know_Top6_DN_ge2_rate,Know_Top6_DN_ge3_rate,Know_Top6_DN_avg_ret,Know_Top5_UP_dir_acc,Know_Top5_UP_ge2_rate,Know_Top5_UP_ge3_rate,Know_Top5_UP_avg_ret,Know_Top5_DN_dir_acc,Know_Top5_DN_ge2_rate,Know_Top5_DN_ge3_rate,Know_Top5_DN_avg_ret,Random_5_UP_dir_acc,Random_5_UP_ge2_rate,Random_5_UP_ge3_rate,Random_5_UP_avg_ret,Random_5_DN_dir_acc,Random_5_DN_ge2_rate,Random_5_DN_ge3_rate,Random_5_DN_avg_ret
2025-09-16,2025-09-17,207,TRAIN,BULL,0.7167,0.6,0.15,0.15,1.949,0.6,0.0,0.0,-0.9681,0.6,0.2,0.2,1.8035,0.6,0.0,0.0,-0.7061,0.5,0.1,0.1,1.5262,0.5,0.0,0.0,-0.9396,0.8333,0.1667,0.1667,1.5262,0.5,0.0,0.0,-1.152,0.8,0.2,0.2,1.4922,0.4,0.0,0.0,-1.5465,0.56,0.16,0.16,1.9465,0.56,0.0,0.0,-0.833
2025-09-17,2025-09-18,208,TRAIN,RANGE,0.3726,0.25,0.05,0.05,1.2565,0.4,0.0,0.0,-0.5812,0.6,0.0,0.0,0.8189,0.4,0.0,0.0,-0.8502,0.3,0.0,0.0,0.7469,0.5,0.0,0.0,-0.5055,0.3333,0.0,0.0,0.6734,0.3333,0.0,0.0,-0.4056,0.4,0.0,0.0,0.6734,0.4,0.0,0.0,-0.4056,0.32,0.04,0.04,0.8042,0.44,0.0,0.0,-0.7095
2025-09-18,2025-09-19,206,TRAIN,RANGE,0.2073,0.5,0.0,0.0,0.6779,0.8,0.05,0.0,-1.0623,0.2,0.0,0.0,0.9316,0.8,0.0,0.0,-1.3316,0.2,0.0,0.0,0.8286,0.8,0.0,0.0,-0.763,0.3333,0.0,0.0,0.8286,0.8333,0.0,0.0,-0.4754,0.2,0.0,0.0,0.2621,0.8,0.0,0.0,-0.337,0.56,0.0,0.0,0.7003,0.88,0.08,0.0,-1.2549
2025-09-19,2025-09-22,207,TRAIN,RANGE,0.0393,0.4,0.25,0.15,3.868,0.7,0.25,0.15,-1.6026,0.4,0.4,0.2,3.7436,0.8,0.2,0.2,-1.4877,0.3,0.2,0.0,2.0197,0.8,0.2,0.2,-1.5515,0.5,0.3333,0.0,2.0197,0.6667,0.1667,0.1667,-1.8283,0.6,0.4,0.0,2.0197,0.8,0.2,0.2,-1.8283,0.44,0.24,0.16,3.1034,0.64,0.24,0.16,-1.5798
2025-09-22,2025-09-23,209,TRAIN,BEAR,-0.584,0.4,0.2,0.15,2.0135,0.7,0.3,0.1,-1.6404,0.6,0.2,0.2,1.5771,1.0,0.4,0.4,-2.0094,0.5,0.2,0.1,1.6856,0.8,0.3,0.2,-1.8094,0.5,0.1667,0.0,1.2292,0.8333,0.5,0.3333,-2.5028,0.6,0.2,0.0,1.2292,0.8,0.6,0.4,-2.8059,0.48,0.24,0.2,2.0477,0.68,0.16,0.12,-1.3806
2025-09-23,2025-09-24,207,TRAIN,RANGE,-0.3133,0.35,0.1,0.1,1.4571,0.75,0.15,0.05,-1.0492,0.2,0.2,0.2,4.063,0.8,0.4,0.0,-1.6527,0.3,0.1,0.1,1.7863,0.9,0.2,0.0,-1.0364,0.5,0.1667,0.1667,1.7863,1.0,0.3333,0.0,-1.4263,0.4,0.2,0.2,2.0453,1.0,0.4,0.0,-1.4466,0.36,0.16,0.16,2.1219,0.68,0.2,0.04,-1.0867
2025-09-24,2025-09-25,207,TRAIN,BEAR,-0.637,0.35,0.05,0.0,0.6529,0.8,0.1,0.0,-1.281,0.4,0.0,0.0,0.8163,0.6,0.0,0.0,-1.5686,0.2,0.0,0.0,0.3311,0.8,0.2,0.0,-1.6687,0.1667,0.0,0.0,0.5849,0.8333,0.1667,0.0,-1.6767,0.2,0.0,0.0,0.5849,0.8,0.2,0.0,-1.6665,0.48,0.04,0.0,0.5802,0.76,0.08,0.0,-1.389
2025-09-25,2025-09-26,207,TRAIN,BEAR,-0.6114,0.05,0.0,0.0,0.2163,0.95,0.5,0.2,-2.1026,0.0,0.0,0.0,0.0,1.0,0.8,0.4,-2.7881,0.0,0.0,0.0,0.0,0.9,0.5,0.2,-2.301,0.0,0.0,0.0,0.0,1.0,0.5,0.1667,-2.1222,0.0,0.0,0.0,0.0,1.0,0.6,0.2,-2.2548,0.04,0.0,0.0,0.0433,0.96,0.56,0.24,-2.2821
2025-09-26,2025-09-29,208,TRAIN,BEAR,-1.8279,0.4,0.1,0.05,1.318,0.4,0.2,0.15,-2.4904,0.2,0.2,0.2,3.7965,0.4,0.2,0.2,-2.4174,0.5,0.2,0.1,1.6292,0.4,0.2,0.1,-2.1949,0.3333,0.0,0.0,0.9859,0.3333,0.3333,0.1667,-3.0621,0.2,0.0,0.0,0.5016,0.4,0.4,0.2,-3.0621,0.36,0.12,0.08,1.1375,0.44,0.2,0.12,-2.2461
2025-09-29,2025-09-30,209,TRAIN,RANGE,-0.0008,0.5,0.15,0.05,1.2242,0.35,0.0,0.0,-0.7471,0.4,0.2,0.2,1.9776,0.4,0.0,0.0,-0.6007,0.4,0.2,0.1,1.7158,0.2,0.0,0.0,-0.5457,0.5,0.1667,0.1667,1.3483,0.1667,0.0,0.0,-0.494,0.4,0.2,0.2,1.9776,0.2,0.0,0.0,-0.494,0.52,0.12,0.08,0.7291,0.44,0.0,0.0,-0.7052
2025-09-30,2025-10-01,210,TRAIN,RANGE,0.1662,0.45,0.05,0.0,0.6207,0.05,0.0,0.0,-1.5782,0.2,0.0,0.0,0.2946,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.2867,0.1,0.0,0.0,-1.5782,0.1667,0.0,0.0,0.2946,0.1667,0.0,0.0,-1.5782,0.2,0.0,0.0,0.2946,0.2,0.0,0.0,-1.5782,0.4,0.04,0.0,0.2977,0.04,0.0,0.0,-0.3156
2025-10-01,2025-10-03,210,TRAIN,BULL,0.9108,0.85,0.4,0.15,2.257,0.3,0.05,0.05,-1.9626,1.0,0.8,0.2,3.1616,0.4,0.0,0.0,-0.7665,0.9,0.4,0.1,2.2906,0.4,0.0,0.0,-0.5497,0.8333,0.3333,0.0,1.7685,0.6667,0.0,0.0,-0.5497,0.8,0.4,0.0,1.963,0.6,0.0,0.0,-0.7311,0.8,0.4,0.12,2.3725,0.36,0.04,0.04,-1.2588
2025-10-03,2025-10-06,208,TRAIN,BULL,0.8057,0.45,0.15,0.05,1.2285,0.55,0.05,0.0,-0.9412,0.6,0.2,0.0,1.2411,0.8,0.0,0.0,-0.5175,0.2,0.0,0.0,0.3921,0.6,0.0,0.0,-0.4791,0.1667,0.0,0.0,0.2257,0.5,0.0,0.0,-0.4126,0.2,0.0,0.0,0.2257,0.6,0.0,0.0,-0.4126,0.48,0.16,0.04,1.1545,0.56,0.04,0.0,-0.6497
2025-10-06,2025-10-07,206,TRAIN,RANGE,0.1637,0.5,0.05,0.0,0.883,0.6,0.05,0.0,-0.8659,0.6,0.0,0.0,0.7384,0.4,0.0,0.0,-0.7399,0.5,0.0,0.0,0.6555,0.5,0.0,0.0,-0.8437,0.3333,0.0,0.0,0.3342,0.5,0.0,0.0,-1.1381,0.4,0.0,0.0,0.3342,0.4,0.0,0.0,-1.0042,0.4,0.0,0.0,0.6416,0.56,0.08,0.0,-1.0929
2025-10-07,2025-10-08,209,TRAIN,RANGE,0.147,0.2,0.05,0.05,1.3687,0.65,0.1,0.0,-1.1537,0.2,0.0,0.0,1.6128,0.6,0.0,0.0,-0.8575,0.2,0.0,0.0,0.4224,0.8,0.2,0.0,-1.0933,0.3333,0.0,0.0,0.4224,0.6667,0.0,0.0,-0.7435,0.4,0.0,0.0,0.4224,0.6,0.0,0.0,-0.7052,0.24,0.04,0.04,0.9866,0.6,0.04,0.0,-0.9357
2025-10-08,2025-10-09,210,TRAIN,BEAR,-0.6463,0.75,0.1,0.05,1.0714,0.45,0.05,0.05,-1.0958,0.8,0.2,0.2,1.1519,0.4,0.0,0.0,-1.1559,0.8,0.2,0.1,1.2224,0.4,0.1,0.1,-1.3969,0.8333,0.1667,0.1667,1.0215,0.0,0.0,0.0,0.0,0.8,0.2,0.2,1.2108,0.0,0.0,0.0,0.0,0.76,0.08,0.08,1.2361,0.44,0.0,0.0,-0.8453
2025-10-09,2025-10-10,209,TRAIN,BULL,0.5115,0.4,0.1,0.0,0.8524,0.4,0.1,0.0,-1.2896,0.6,0.2,0.0,0.999,0.8,0.0,0.0,-0.9613,0.5,0.2,0.0,1.1731,0.4,0.1,0.0,-1.3285,0.6667,0.1667,0.0,0.8552,0.6667,0.1667,0.0,-1.3285,0.8,0.2,0.0,0.8552,0.6,0.2,0.0,-1.3039,0.4,0.08,0.0,0.5257,0.44,0.04,0.0,-1.0744
2025-10-10,2025-10-13,209,TRAIN,RANGE,0.3742,0.25,0.05,0.05,1.377,0.7,0.2,0.0,-1.1953,0.2,0.2,0.2,3.8155,0.6,0.4,0.0,-1.9459,0.3,0.1,0.1,2.1737,0.7,0.3,0.0,-1.2707,0.3333,0.1667,0.1667,2.5372,0.6667,0.3333,0.0,-1.5375,0.4,0.2,0.2,2.5372,0.6,0.4,0.0,-2.0363,0.2,0.08,0.08,1.4339,0.68,0.2,0.0,-1.0536
2025-10-13,2025-10-14,206,TRAIN,RANGE,-0.3587,0.45,0.1,0.1,2.0759,0.9,0.15,0.1,-1.5108,0.8,0.4,0.4,3.4245,0.8,0.0,0.0,-0.874,0.6,0.1,0.1,1.4267,0.9,0.1,0.1,-1.3361,0.6667,0.0,0.0,0.8145,0.8333,0.1667,0.1667,-1.5539,0.8,0.0,0.0,0.8145,0.8,0.2,0.2,-1.8764,0.48,0.16,0.16,1.8425,0.88,0.08,0.04,-1.2567
2025-10-14,2025-10-15,209,TRAIN,BEAR,-0.7574,0.65,0.3,0.2,2.1215,0.25,0.15,0.05,-1.653,0.8,0.4,0.2,2.2468,0.4,0.4,0.2,-2.7927,0.7,0.3,0.1,1.7641,0.1,0.1,0.0,-2.1564,0.6667,0.1667,0.0,1.0648,0.1667,0.1667,0.0,-2.1564,0.8,0.2,0.0,1.0648,0.0,0.0,0.0,0.0,0.64,0.36,0.24,2.3361,0.28,0.16,0.08,-1.0659
2025-10-15,2025-10-16,208,TRAIN,BULL,0.9529,0.55,0.3,0.1,1.8096,0.3,0.0,0.0,-0.3671,0.6,0.2,0.0,1.5678,0.2,0.0,0.0,-0.1206,0.6,0.3,0.1,1.7023,0.0,0.0,0.0,0.0,0.6667,0.5,0.1667,2.3172,0.0,0.0,0.0,0.0,0.6,0.4,0.2,2.2137,0.0,0.0,0.0,0.0,0.56,0.28,0.08,1.408,0.28,0.0,0.0,-0.2899
