trading_date,model,direction,symbol,v3_score,knowledge_score,knowledge_conf,t1_ret_pct,t3_ret_pct,favorable,ge2pct,split
2025-09-16,KNOW_TOP5,UP,COCHINSHIP.NS,0.9621,1.0,HIGH,3.7824,4.3478,1,1,TRAIN
2025-09-16,KNOW_TOP5,UP,MIDHANI.NS,0.9434,1.0,HIGH,0.3893,-0.9734,1,0,TRAIN
2025-09-16,KNOW_TOP5,UP,HFCL.NS,0.9141,1.0,HIGH,-1.7526,-0.0523,0,0,TRAIN
2025-09-16,KNOW_TOP5,UP,IRCON.NS,0.8862,1.0,HIGH,0.9773,-0.0108,1,0,TRAIN
2025-09-16,KNOW_TOP5,UP,PERSISTENT.NS,0.859,1.0,HIGH,0.8196,0.2823,1,0,TRAIN
2025-09-16,V3_TOP5,UP,COCHINSHIP.NS,0.9621,1.0,HIGH,3.7824,4.3478,1,1,TRAIN
2025-09-16,V3_TOP5,UP,PARAS.NS,0.9621,0.875,HIGH,1.2387,1.2657,1,0,TRAIN
2025-09-16,V3_TOP5,UP,MIDHANI.NS,0.9434,1.0,HIGH,0.3893,-0.9734,1,0,TRAIN
2025-09-16,V3_TOP5,UP,HFCL.NS,0.9141,1.0,HIGH,-1.7526,-0.0523,0,0,TRAIN
2025-09-16,V3_TOP5,UP,MOTHERSON.NS,0.9085,0.75,HIGH,-0.5005,-0.7371,0,0,TRAIN
2025-09-16,RAND_TOP5,UP,HFCL.NS,0.9141,1.0,HIGH,-1.7526,-0.0523,0,0,TRAIN
2025-09-16,RAND_TOP5,UP,COCHINSHIP.NS,0.9621,1.0,HIGH,3.7824,4.3478,1,1,TRAIN
2025-09-16,RAND_TOP5,UP,DATAPATTNS.NS,0.8735,0.875,HIGH,3.9137,3.5516,1,1,TRAIN
2025-09-16,RAND_TOP5,UP,IRCON.NS,0.8862,1.0,HIGH,0.9773,-0.0108,1,0,TRAIN
2025-09-16,RAND_TOP5,UP,JSWENERGY.NS,0.8248,1.0,HIGH,-0.9351,1.0092,0,0,TRAIN
2025-09-17,KNOW_TOP5,UP,GRSE.NS,0.9655,1.0,HIGH,0.8757,2.4889,1,0,TRAIN
2025-09-17,KNOW_TOP5,UP,IDEAFORGE.NS,0.9452,1.0,HIGH,-0.2055,-1.2514,0,0,TRAIN
2025-09-17,KNOW_TOP5,UP,IRCON.NS,0.9292,1.0,HIGH,-0.5989,-2.6575,0,0,TRAIN
2025-09-17,KNOW_TOP5,UP,RVNL.NS,0.9116,1.0,HIGH,0.4712,-0.5266,1,0,TRAIN
2025-09-17,KNOW_TOP5,UP,MIDHANI.NS,0.8932,1.0,HIGH,-1.6362,-2.7875,0,0,TRAIN
2025-09-17,V3_TOP5,UP,ONMOBILE.NS,0.992,0.75,HIGH,0.6871,4.0748,1,0,TRAIN
2025-09-17,V3_TOP5,UP,COCHINSHIP.NS,0.9833,0.875,HIGH,0.8939,1.7138,1,0,TRAIN
2025-09-17,V3_TOP5,UP,DATAPATTNS.NS,0.9773,0.875,HIGH,-1.2682,-1.9511,0,0,TRAIN
2025-09-17,V3_TOP5,UP,GRSE.NS,0.9655,1.0,HIGH,0.8757,2.4889,1,0,TRAIN
2025-09-17,V3_TOP5,UP,PARAS.NS,0.9543,0.75,HIGH,-1.0162,-1.8185,0,0,TRAIN
2025-09-17,RAND_TOP5,UP,GRSE.NS,0.9655,1.0,HIGH,0.8757,2.4889,1,0,TRAIN
2025-09-17,RAND_TOP5,UP,ONMOBILE.NS,0.992,0.75,HIGH,0.6871,4.0748,1,0,TRAIN
2025-09-17,RAND_TOP5,UP,RAILTEL.NS,0.9092,0.875,HIGH,-0.8231,-3.355,0,0,TRAIN
2025-09-17,RAND_TOP5,UP,RVNL.NS,0.9116,1.0,HIGH,0.4712,-0.5266,1,0,TRAIN
2025-09-17,RAND_TOP5,UP,MOTHERSON.NS,0.8208,0.5,MEDIUM,-0.3292,0.5579,0,0,TRAIN
2025-09-18,KNOW_TOP5,UP,GRSE.NS,0.9846,1.0,HIGH,-0.8034,2.0713,0,0,TRAIN
2025-09-18,KNOW_TOP5,UP,HFCL.NS,0.9473,1.0,HIGH,-1.5714,-2.9624,0,0,TRAIN
2025-09-18,KNOW_TOP5,UP,NATCOPHARM.NS,0.8051,1.0,HIGH,-0.0057,-3.2568,0,0,TRAIN
2025-09-18,KNOW_TOP5,UP,RATNAMANI.NS,0.75,1.0,HIGH,-2.6973,-1.2176,0,0,TRAIN
2025-09-18,KNOW_TOP5,UP,RVNL.NS,0.8473,0.875,HIGH,0.2621,-1.3517,1,0,TRAIN
