track,model,timing,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav_ret,avg_mfe,avg_mae,fp_rate,conc_lift,top1_cap,spearman_dir,spearman_abs
Baseline,V3_20,PRE_MARKET,UP,TRAIN,2140,0.4453,0.2449,0.135,0.0804,1.7867,1.6636,1.6142,0.3192,1.0,,-0.0164,0.1438
Baseline,V3_Top5,PRE_MARKET,UP,TRAIN,535,0.4318,0.2692,0.1757,0.1159,2.2272,1.9877,1.9723,0.3907,1.203,0.3551,-0.0245,0.1267
Baseline,V3_Top6,PRE_MARKET,UP,TRAIN,642,0.4377,0.2695,0.162,0.1059,2.1557,1.9273,1.9193,0.3816,1.1616,0.3738,-0.0242,0.1431
Baseline,Random_5,PRE_MARKET,UP,TRAIN,2675,0.4415,0.246,0.1432,0.0886,1.8755,1.7215,1.6477,0.3252,3.4866,0.8972,,
Baseline,Random_6,PRE_MARKET,UP,TRAIN,3210,0.443,0.2461,0.1411,0.0863,1.8485,1.7132,1.6469,0.3246,3.1828,0.9533,,
Baseline,V3_20,PRE_MARKET,UP,VAL,1060,0.5123,0.3651,0.2311,0.1585,2.5265,2.4398,1.8618,0.3226,1.0,,0.0082,0.1084
Baseline,V3_Top5,PRE_MARKET,UP,VAL,265,0.4943,0.3925,0.2679,0.2151,3.3322,3.2482,2.229,0.3509,1.3115,0.5094,0.0202,0.159
Baseline,V3_Top6,PRE_MARKET,UP,VAL,318,0.4969,0.3868,0.2673,0.2107,3.2157,3.1695,2.1422,0.3491,1.241,0.5472,0.0152,0.1638
Baseline,Random_5,PRE_MARKET,UP,VAL,1325,0.5102,0.3653,0.2317,0.1653,2.6493,2.5648,1.8764,0.3245,3.4935,0.9245,,
Baseline,Random_6,PRE_MARKET,UP,VAL,1590,0.5113,0.3642,0.2327,0.166,2.6188,2.5446,1.8695,0.3201,3.1561,0.9623,,
Baseline,V3_20,PRE_MARKET,UP,OOS,1080,0.4787,0.2852,0.175,0.1093,2.0629,2.0591,1.5352,0.2926,1.0,,-0.0295,0.1355
Baseline,V3_Top5,PRE_MARKET,UP,OOS,270,0.5,0.3222,0.2222,0.1741,2.6812,2.6869,1.8123,0.337,1.3274,0.4906,-0.0288,0.1806
Baseline,V3_Top6,PRE_MARKET,UP,OOS,324,0.4846,0.3056,0.2068,0.1605,2.5775,2.4878,1.8347,0.3364,1.2322,0.5283,0.0095,0.1436
Baseline,Random_5,PRE_MARKET,UP,OOS,1350,0.4756,0.283,0.1778,0.1185,2.1461,2.1037,1.548,0.3111,3.4768,0.9057,,
Baseline,Random_6,PRE_MARKET,UP,OOS,1620,0.4815,0.2883,0.1784,0.1167,2.1272,2.1014,1.5438,0.308,3.164,0.9434,,
Baseline,V3_20,PRE_MARKET,DOWN,TRAIN,2140,0.5383,0.2808,0.1276,0.0528,1.4153,1.4131,1.4943,0.2388,1.0,,0.0005,0.0479
Baseline,V3_Top5,PRE_MARKET,DOWN,TRAIN,535,0.5421,0.2916,0.1533,0.071,1.5805,1.5783,1.5928,0.2486,1.0212,0.3084,-0.0242,0.0518
Baseline,V3_Top6,PRE_MARKET,DOWN,TRAIN,642,0.5327,0.2788,0.1464,0.0717,1.5445,1.528,1.6102,0.2461,0.9758,0.3271,0.006,0.0555
Baseline,Random_5,PRE_MARKET,DOWN,TRAIN,2675,0.532,0.2804,0.1252,0.0535,1.4165,1.4057,1.5225,0.2441,3.3712,0.8505,,
Baseline,Random_6,PRE_MARKET,DOWN,TRAIN,3210,0.5389,0.2822,0.129,0.0548,1.4202,1.4256,1.5137,0.2433,3.1856,0.9533,,
Baseline,V3_20,PRE_MARKET,DOWN,VAL,1060,0.484,0.333,0.2085,0.1349,2.1651,1.7717,1.7914,0.3283,1.0,,0.0702,0.0312
