experiment,model,information,timing,direction,sample_oos,dir_acc,ge2_rate,ge3_rate,avg_fav_ret,avg_mfe,fp_rate,conc_lift,top1_cap,spearman_dir,vs_v3t5_ge2_delta,leakage,oos_verdict
Baseline,V3_20,V3_score,PRE_MARKET,UP,1080,0.4787,0.175,0.1093,2.0629,2.0591,0.2926,1.0,,-0.0295,0.0,PASS,MARGINAL
Baseline,V3_Top5,V3_score,PRE_MARKET,UP,270,0.5,0.2222,0.1741,2.6812,2.6869,0.337,1.3274,0.4906,-0.0288,0.0,PASS,MARGINAL
Baseline,V3_Top6,V3_score,PRE_MARKET,UP,324,0.4846,0.2068,0.1605,2.5775,2.4878,0.3364,1.2322,0.5283,0.0095,0.0,PASS,MARGINAL
Baseline,Random_5,V3_score,PRE_MARKET,UP,1350,0.4756,0.1778,0.1185,2.1461,2.1037,0.3111,3.4768,0.9057,,0.0,PASS,MARGINAL
Baseline,Random_6,V3_score,PRE_MARKET,UP,1620,0.4815,0.1784,0.1167,2.1272,2.1014,0.308,3.164,0.9434,,0.0,PASS,MARGINAL
A1_Sector,A1_Top5,sector_5sig,PRE_MARKET,UP,270,0.4963,0.1963,0.1444,2.422,2.4675,0.2815,1.2581,0.3962,-0.0563,-0.0259,PASS,WORSE
A1_Sector,A1_Top6,sector_5sig,PRE_MARKET,UP,324,0.4907,0.2006,0.1512,2.437,2.4402,0.2716,1.2277,0.4717,-0.0524,-0.0216,PASS,WORSE
A1_Sector,A1_Low_Top5,sector_5sig,PRE_MARKET,UP,270,0.5222,0.1852,0.1111,2.0793,2.2158,0.3074,1.0937,0.3208,0.1534,-0.037,PASS,WORSE
D1_Gap,D1_Top5,opening_gap,POST_OPEN,UP,270,0.5481,0.2407,0.1963,2.7178,2.9841,0.2444,1.5767,0.5094,0.1543,0.0185,PASS,MARGINAL
D1_Gap,D1_Top6,opening_gap,POST_OPEN,UP,324,0.5525,0.2377,0.1852,2.5921,2.9034,0.2438,1.5027,0.566,0.1863,0.0155,PASS,MARGINAL
D1_Gap,D1_Low_Top5,opening_gap,POST_OPEN,UP,270,0.3963,0.1556,0.1,2.204,1.6231,0.4,0.7677,0.2642,0.1502,-0.0666,PASS,WORSE
F1_InvKn,F1_High_Top5,inv_knowledge,PRE_MARKET,UP,270,0.4444,0.1481,0.1111,2.0431,2.0092,0.3222,0.8927,0.1698,-0.048,-0.0741,PASS,WORSE
F1_InvKn,F1_Low_Top5,inv_knowledge,PRE_MARKET,UP,270,0.5074,0.2,0.1148,2.193,2.1557,0.2852,1.0881,0.2264,0.0001,-0.0222,PASS,WORSE
F1_InvKn,F1_Low_Top6,inv_knowledge,PRE_MARKET,UP,324,0.5093,0.2006,0.1173,2.249,2.1929,0.2809,1.1117,0.3208,-0.0107,-0.0216,PASS,WORSE
F1_InvKn,F1_InvKn_Top5,inv_knowledge,PRE_MARKET,UP,270,0.5074,0.2,0.1148,2.193,2.1557,0.2852,1.0881,0.2264,-0.0001,-0.0222,PASS,WORSE
G1_Combo,G1_V3_Sector_Top5,combination,PRE_MARKET,UP,270,0.4963,0.1963,0.1444,2.422,2.4675,0.2815,1.2581,0.3962,-0.0449,-0.0259,PASS,WORSE
G1_Combo,G2_V3_InvKn_Top5,combination,PRE_MARKET,UP,270,0.5037,0.1926,0.1185,2.2415,2.2118,0.2815,1.1307,0.3019,0.0066,-0.0296,PASS,WORSE
G1_Combo,G3_V3_Sect_InvKn_Top5,combination,PRE_MARKET,UP,270,0.4926,0.2037,0.137,2.366,2.4471,0.2778,1.2321,0.3396,0.0375,-0.0185,PASS,MARGINAL
