model,date,n_universe,pool_up_count,pool_down_count,sel_up_count,sel_down_count,up_dir_acc_5d,sel_up_avg_ret_5d,down_dir_acc_5d,sel_down_avg_ret_5d,smcr_up_1pct_pool,smcr_up_1pct_sel,smcr_down_1pct_pool,smcr_down_1pct_sel,n_strong_up_1pct,n_strong_down_1pct,smcr_up_2pct_pool,smcr_up_2pct_sel,smcr_down_2pct_pool,smcr_down_2pct_sel,n_strong_up_2pct,n_strong_down_2pct,smcr_up_3pct_pool,smcr_up_3pct_sel,smcr_down_3pct_pool,smcr_down_3pct_sel,n_strong_up_3pct,n_strong_down_3pct,top1_up_capture,top3_up_capture,top5_up_capture,top1_down_capture,top3_down_capture,top5_down_capture,pool_precision_up,pool_precision_down,sel_precision_up,sel_precision_down,sel_lift_up,sel_up_avg_mfe,sel_up_avg_mae,sel_up_avg_ret_1d,sel_up_avg_ret_3d,regime,n_iios_signals
MODEL_A,2021-02-05,196,3,0,3,0,0.6666666666666666,3.6284000000000005,,,0.02127659574468085,0.02127659574468085,0.0,0.0,94,50,0.025,0.025,0.0,0.0,80,38,0.03125,0.03125,0.0,0.0,64,23,0,0,0,0,0,0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.6333333333333333,11.183666666666667,-0.2644,3.509833333333333,6.494,TRENDING_UP,3
MODEL_B,2021-02-05,196,20,20,6,6,0.3333333333333333,-1.6842333333333332,0.3333333333333333,-0.1689166666666667,0.05319148936170213,0.010638297872340425,0.1,0.02,94,50,0.0375,0.0125,0.10526315789473684,0.02631578947368421,80,38,0.046875,0.015625,0.08695652173913043,0.043478260869565216,64,23,0,0,0,0,0,0,0.15,0.2,0.16666666666666666,0.16666666666666666,0.4083333333333333,6.126633333333333,-5.075083333333334,0.9672166666666667,-2.777733333333334,TRENDING_UP,3
MODEL_C,2021-02-05,196,20,20,6,6,0.6666666666666666,2.2090833333333335,0.3333333333333333,-0.1689166666666667,0.05319148936170213,0.031914893617021274,0.08,0.02,94,50,0.05,0.0375,0.07894736842105263,0.02631578947368421,80,38,0.0625,0.046875,0.08695652173913043,0.043478260869565216,64,23,0,0,0,0,0,0,0.2,0.15,0.5,0.16666666666666666,1.2249999999999999,10.113333333333335,-2.8861000000000003,2.852833333333333,1.1025333333333334,TRENDING_UP,3
MODEL_A,2021-02-08,196,20,0,6,0,0.5,-2.704183333333333,,,0.07777777777777778,0.0,0.0,0.0,90,67,0.08450704225352113,0.0,0.0,0.0,71,44,0.07407407407407407,0.0,0.0,0.0,54,33,0,0,0,0,0,0,0.3,0.0,0.0,0.0,0.0,0.7218166666666667,-4.291199999999999,-1.8938999999999997,-1.9068166666666668,TRENDING_UP,29
MODEL_B,2021-02-08,196,20,20,6,6,0.5,-1.6364666666666665,0.6666666666666666,-0.49604999999999916,0.07777777777777778,0.022222222222222223,0.1044776119402985,0.05970149253731343,90,67,0.08450704225352113,0.028169014084507043,0.09090909090909091,0.06818181818181818,71,44,0.09259259259259259,0.018518518518518517,0.09090909090909091,0.09090909090909091,54,33,0,0,0,1,1,2,0.3,0.2,0.3333333333333333,0.5,0.92018779342723,5.359283333333334,-5.436450000000001,-2.3409333333333335,-1.2651833333333333,TRENDING_UP,29
MODEL_C,2021-02-08,196,20,20,6,6,0.5,-1.0805333333333331,0.5,-2.7800333333333334,0.07777777777777778,0.011111111111111112,0.16417910447761194,0.04477611940298507,90,67,0.08450704225352113,0.014084507042253521,0.20454545454545456,0.06818181818181818,71,44,0.07407407407407407,0.018518518518518517,0.2727272727272727,0.09090909090909091,54,33,0,0,0,1,2,2,0.3,0.45,0.16666666666666666,0.5,0.460093896713615,2.6827333333333336,-4.055533333333333,-1.87775,-0.8251833333333334,TRENDING_UP,29
MODEL_A,2021-02-09,196,20,0,6,0,0.5,0.967,,,0.08888888888888889,0.022222222222222223,0.0,0.0,90,56,0.0958904109589041,0.0273972602739726,0.0,0.0,73,37,0.09836065573770492,0.03278688524590164,0.0,0.0,61,20,0,0,0,0,0,0,0.35,0.0,0.3333333333333333,0.0,0.8949771689497715,4.363933333333333,-2.724016666666667,0.7202666666666667,-0.8330500000000001,TRENDING_UP,39
MODEL_B,2021-02-09,196,20,20,6,6,0.8333333333333334,1.7163833333333336,0.16666666666666666,3.112183333333333,0.13333333333333333,0.03333333333333333,0.08928571428571429,0.017857142857142856,90,56,0.136986301369863,0.0273972602739726,0.10810810810810811,0.02702702702702703,73,37,0.13114754098360656,0.01639344262295082,0.15,0.05,61,20,0,0,0,0,0,0,0.5,0.2,0.3333333333333333,0.16666666666666666,0.8949771689497715,7.920733333333334,-2.7404499999999996,1.5312999999999999,3.9403333333333337,TRENDING_UP,39
MODEL_C,2021-02-09,196,20,20,6,6,0.5,1.6114833333333334,0.6666666666666666,-1.5865833333333335,0.1111111111111111,0.022222222222222223,0.14285714285714285,0.07142857142857142,90,56,0.1232876712328767,0.0273972602739726,0.13513513513513514,0.08108108108108109,73,37,0.14754098360655737,0.03278688524590164,0.2,0.15,61,20,0,0,0,0,0,0,0.45,0.25,0.3333333333333333,0.5,0.8949771689497715,4.799416666666667,-2.709316666666666,0.8350666666666667,-0.5422333333333333,TRENDING_UP,39
MODEL_A,2021-02-10,196,20,0,6,0,0.6666666666666666,3.631816666666667,,,0.14130434782608695,0.043478260869565216,0.0,0.0,92,59,0.136986301369863,0.0410958904109589,0.0,0.0,73,46,0.14035087719298245,0.05263157894736842,0.0,0.0,57,32,0,0,0,0,0,0,0.5,0.0,0.5,0.0,1.3424657534246573,6.543683333333334,-1.7393833333333333,0.4577,2.1043166666666666,TRENDING_UP,39
